university	ecampustours	website
1063	1063	1063	1049
0000	1	www.alasu.edu
0001	1	www.athens.edu
0002	1	www.auburn.edu
0003	1	www.aum.edu
0004	1	www.bsc.edu
0005	1	www.faulkner.edu
0006	1	www.hcu.edu
0007	1	www.huntingdon.edu
0008	1	www.jsu.edu
0009	1	www.lbwcc.edu
0010	1	www.oakwood.edu
0011	1	www.samford.edu
0012	1	www.sheltonstate.edu
0013	1	www.shc.edu
0014	1	www.troy.edu
0015	1	www.tuskegee.edu
0016	1	www.ua.edu
0017	1	www.uab.edu
0018	1	www.uah.edu
0019	1	www.umobile.edu
0020	1	www.montevallo.edu
0021	1	www.una.edu
0022	1	www.southalabama.edu
0023	1	www.uwa.edu
0024	1	www.alaskapacific.edu
0025	1	www.uaa.alaska.edu
0026	1	www.uaf.edu
0027	1	www.agnesscott.edu
0028	1	www.asurams.edu
0029	1	www.armstrong.edu
0030	1	www.acc.edu
0031	1	www.atlm.edu
0032	1	www.aug.edu
0033	1	www.berry.edu
0034	1	www.brenau.edu
0035	1	www.bpc.edu
0036	1	www.centralgatech.edu
0037	1	www.cau.edu
0038	1	www.clayton.edu
0039	1	www.colstate.edu
0040	1	www.covenant.edu
0041	1	www.daltonstate.edu
0042	1	www.devry.edu
0043	1	www.ega.edu
0044	1	www.ec.edu
0045	1	www.emory.edu
0046	1	www.emory.edu
0047	1	www.fvsu.edu
0048	1	www.gsc.edu
0049	1	WWW.GCSU.EDU
0050	1	www.gpc.edu
0051	1	www.georgiasouthern.edu
0052	1	www.gsu.edu
0053	1	www.heartofgatech.edu
0054	1	www.kennesaw.edu
0055	1	www.lagrange.edu
0056	1	www.life.edu
0057	1	www.maconstate.edu
0058	1	www.mcg.edu
0059	1	www.mercer.edu
0060	1	www.mgc.edu
0061	1	www.morehouse.edu
0062	1	www.oglethorpe.edu
0063	1	www.paine.edu
0064	1	www.piedmont.edu
0065	1	www.reinhardt.edu
0066	1	www.scad.edu
0067	1	www.savannahstate.edu
0068	1	www.shorter.edu
0069	1	www.southuniversity.edu
0070	1	www.spelman.edu
0071	1	www.thomasu.edu
0072	1	www.tfc.edu
0073	1	www.truett.edu
0074	1	www.uga.edu
0075	1	www.westga.edu
0076	1	www.valdosta.edu
0077	1	www.yhc.edu
0078	1	www.byuh.edu
0079	1	www.chaminade.edu
0080	1	www.hpu.edu
0081	1	honolulu.hawaii.edu
0082	1	www.leeward.hawaii.edu
0083	1	www.uhh.hawaii.edu
0084	1	manoa.hawaii.edu
0085	1	www.boisebible.edu
0086	1	www.boisestate.edu
0087	1	www.byui.edu
0088	1	www.isu.edu
0089	1	www.lcsc.edu
0090	1	www.nnu.edu
0091	1	www.collegeofidaho.edu
0092	1	www.augustana.edu
0093	1	www.aurora.edu
0094	1	www.ben.edu
0095	1	www.blackburn.edu
0096	1	www.bradley.edu
0097	1	www.csu.edu
0098	1	www.cuchicago.edu
0099	1	www.depaul.edu
0100	1	www.devry.edu
0101	1	www.dom.edu
0102	1	public.elmhurst.edu
0103	1	www.eureka.edu
0104	1	www.harpercollege.edu
0105	1	www.ic.edu
0106	1	www.iit.edu
0107	1	www.ilstu.edu
0108	1	www.iwu.edu
0109	1	www.judsonu.edu
0110	1	www.lakeforest.edu
0111	1	www.lewisu.edu
0112	1	www.lccs.edu
0113	1	www.luc.edu
0114	1	www.mac.edu
0115	1	www.mckendree.edu prospective
0116	1	www.midstate.edu
0117	1	www.millikin.edu
0118	1	www.monm.edu
0119	1	www.morainevalley.edu
0120	1	www.nl.edu
0121	1	northcentralcollege.edu
0122	1	www.neiu.edu
0123	1	www.niu.edu
0124	1	www.quincy.edu
0125	1	www.richland.edu
0126	1	www.robertmorris.edu
0127	1	www.rockford.edu
0128	1	www.roosevelt.edu
0129	1	WWW.RUSHU.RUSH.EDU
0130	1	WWW.SXU.EDU
0131	1	www.trnty.edu
0132	1	www.tiu.edu
0133	1	www.uic.edu index.html
0134	1	www.stfrancis.edu
0135	1	www.wiu.edu
0136	1	www.ancilla.edu
0137	1	www.anderson.edu
0138	1	www.bsu.edu
0139	1	www.bethelcollege.edu
0140	1	www.ccsj.edu
0141	1	www.depauw.edu
0142	1	www.franklincollege.edu
0143	1	www.goshen.edu
0144	1	www.hanover.edu
0145	1	www.hcc-nd.edu
0146	1	www.huntington.edu
0147	1	www.indianatech.edu
0148	1	www.indstate.edu
0149	1	www.iub.edu
0150	1	www.indwes.edu
0151	1	www.manchester.edu
0152	1	WWW.MARTIN.EDU
0153	1	www.saintjoe.edu
0154	1	www.saintmarys.edu
0155	1	www.smwc.edu
0156	1	www.taylor.edu
0157	1	www.trine.edu
0158	1	www.evansville.edu
0159	1	uindy.edu
0160	1	www.usi.edu
0161	1	www.wabash.edu
0162	1	www.bvu.edu
0163	1	www.clarke.edu
0164	1	www.coe.edu
0165	1	www.cornellcollege.edu
0166	1	www.dwci.edu
0167	1	www.dordt.edu
0168	1	www.drake.edu
0169	1	www.emmaus.edu
0170	1	www.graceland.edu
0171	1	www.grandview.edu
0172	1	www.grinnell.edu
0173	1	www.iastate.edu
0174	1	www.iwc.edu
0175	1	www.morningside.edu
0176	1	www.mtmercy.edu
0177	1	www.nwciowa.edu
0178	1	www.simpson.edu
0179	1	www.sau.edu
0180	1	www.uiowa.edu
0181	1	www.waldorf.edu
0182	1	www.barclaycollege.edu
0183	1	www.bartonccc.edu
0184	1	www.benedictine.edu
0185	1	www.bethelks.edu
0186	1	www.centralchristian.edu
0187	1	www.cowley.edu
0188	1	www.dc3.edu
0189	1	www.emporia.edu
0190	1	www.fhsu.edu
0191	1	www.friends.edu
0192	1	www.hesston.edu
0193	1	www.hutchcc.edu
0194	1	www.jccc.edu
0195	1	www.k-state.edu
0196	1	www.mccks.edu
0197	1	www.mcpherson.edu
0198	1	www.mnu.edu
0199	1	www.newmanu.edu
0200	1	www.pittstate.edu
0201	1	www.sckans.edu
0202	1	www.sterling.edu
0203	1	www.tabor.edu
0204	1	www.ku.edu
0205	1	www.stmary.edu
0206	1	www.washburn.edu
0207	1	www.wichita.edu
0208	1	www.asbury.edu
0209	1	www.bellarmine.edu
0210	1	www.brescia.edu
0211	1	www.centre.edu
0212	1	www.ccbbc.edu
0213	1	www.eku.edu
0214	1	www.georgetowncollege.edu
0215	1	www.hopkinsville.kctcs.edu
0216	1	www.kcu.edu
0217	1	www.kysu.edu
0218	1	WWW.KWC.EDU
0219	1	www.lindsey.edu
0220	1	www.midway.edu
0221	1	www.moreheadstate.edu
0222	1	www.murraystate.edu
0223	1	www.nku.edu
0224	1	www.spalding.edu
0225	1	www.thomasmore.edu
0226	1	www.transy.edu
0227	1	www.unionky.edu
0228	1	www.uky.edu
0229	1	www.louisville.edu
0230	1	www.ucumberlands.edu
0231	1	www.wku.edu
0232	1	www.centenary.edu
0233	1	www.dillard.edu
0234	1	www.gram.edu
0235	1	www.lacollege.edu
0236	1	www.lsue.edu
0237	1	www.latech.edu
0238	1	www.loyno.edu
0239	1	www.mcneese.edu
0240	1	www.nicholls.edu
0241	1	www.olhcc.edu
0242	1	www.ololcollege.edu
0243	1	www.selu.edu
0244	1	www.suno.edu
0245	1	www.tulane.edu
0246	1	www.ulm.edu
0247	1	www.uno.edu
0248	1	www.xula.edu
0249	1	www.bowdoin.edu
