university	embark	name
2000	2000	2000	1994
0000	1	Abraham Baldwin Agricultural College
0001	1	Academy College
0002	1	Academy of Healing Arts, Massage,
0003	1	Academy of Medical Arts and Business
0004	1	Academy Pacific Business and Travel College
0005	1	Adelphi University
0006	1	Adrian College
0007	1	Agnes Scott College
0008	1	AIB College of Business
0009	1	Aiken Technical College
0010	1	AIMS Academy (Dallas)
0011	1	AIMS Academy (Grand Prairie)
0012	1	Aims Community College
0013	1	Akron Institute
0014	1	Akron Machining Institute
0015	1	Alabama Southern Community College (Monroeville)
0016	1	Alabama Southern Community College (Thomasville)
0017	1	Alabama State University
0018	1	Albany State University
0019	1	Albert A. List College of Jewish Studies at JTS
0020	1	Albertus Magnus College
0021	1	Alderson-Broaddus College
0022	1	Alexandria Technical College
0023	1	Alfred University Undergraduate Application
0024	1	All-State Career School (Maryland)
0025	1	Allan Hancock College
0026	1	Allegany College - Bedford County Campus
0027	1	Allegany College - Somerset Campus
0028	1	Allen County Community College
0029	1	Alma College
0030	1	Altamaha Technical Institute (Jesup)
0031	1	American Academy of Dramatic Arts West
0032	1	American Ballet Center/Joffrey Ballet School
0033	1	American Commercial College (Lubbock)
0034	1	American Health Science University
0035	1	American Indian College of the Assemblies of God, Inc.
0036	1	American Institute of Applied Science
0037	1	American Institute of Health Technology, Inc.
0038	1	American Institute of Technology
0039	1	American International College
0040	1	American Jewish University
0041	1	American School of Business (Louisiana)
0042	1	American Trans Air Aviation
0043	1	Ancilla College
0044	1	Anderson College
0045	1	Anderson University
0046	1	Andover College
0047	1	Andrews University
0048	1	Angelina College
0049	1	Anoka-Hennepin Technical College
0050	1	Anoka-Ramsey Community College
0051	1	Antonelli College (Jackson)
0052	1	Antonelli College (Ohio)
0053	1	Antonelli Institute
0054	1	Apex Technical School
0055	1	Apollo College of Medical-Dental Careers
0056	1	Appalachian State University
0057	1	Applied Career Training, Inc.
0058	1	Arapahoe Community College
0059	1	Arcadia University
0060	1	Arizona Institute of Business and Technology - Mesa
0061	1	Arizona Institute of Business and Technology - West Valley
0062	1	Arizona State University East
0063	1	Arizona State University West
0064	1	Arizona Western College
0065	1	Arkansas State University
0066	1	Arkansas State University - Beebe
0067	1	Arkansas State University - Newport Campus
0068	1	Art Institute of Charlotte
0069	1	Art Institute of Colorado
0070	1	Art Institute of Southern California
0071	1	Asbury College
0072	1	Ashland Community College
0073	1	Ashland Technical College
0074	1	Asnuntuck Community College
0075	1	ASU MBA
0076	1	Athens Area Technical Institute
0077	1	ATI - Career Training Center (Hurst)
0078	1	ATI - Health Education Center
0079	1	Atlanta Institute of Music
0080	1	Atlanta School of Massage
0081	1	Atlantic County Vocational School
0082	1	Atlantic Technical Center (Coconut Creek)
0083	1	Auburn University
0084	1	Auburn University-Montgomery
0085	1	Audrey Cohen College
0086	1	Augsburg College
0087	1	Augustana College (IL)
0088	1	Austin College
0089	1	Austin Community College
0090	1	Automotive Training Center
0091	1	Avila College International Programs
0092	1	Avila University
0093	1	Azusa Pacific University
0094	1	Babson College
0095	1	Babson College FW Olin Graduate School of Business
0096	1	Bacone College
0097	1	Bakersfield College
0098	1	Baldwin-Wallace College
0099	1	Ball State University
0100	1	Baltimore City Community College
0101	1	Baltimore International College
0102	1	Baptist Bible College and Seminary of Pennsylvania
0103	1	Baptist Bible College East
0104	1	Barber Scotia College
0105	1	Barber Styling Institute
0106	1	Barnard College
0107	1	Barry University
0108	1	Barstow College
0109	1	Barton College
0110	1	Barton County Community College
0111	1	Baruch College Graduate Studies
0112	1	Bay de Noc Community College
0113	1	Bay Path College
0114	1	Bay State College
0115	1	Baylor University
0116	1	Baylor University Hankamer School of Business
0117	1	Beacon College
0118	1	Beaufort County Community College
