university	embark	phone
2000	2000	2000	1994
0000	1	912 386-3230
0001	1	952 851-0066
0002	1	561 967-0899
0003	1	717 545-4747
0004	1	323 462-3211
0005	1	516-877-3050
0006	1	517-265-5161
0007	1	404-471-6285
0008	1	515 244-4221
0009	1	803 593-9231
0010	1	972 988-3202
0011	1	972 988-3202
0012	1	970 330-8008
0013	1	330 928-3400
0014	1	330 745-1111
0015	1	334 575-3156
0016	1	334 636-9642
0017	1	334-229-4291
0018	1	229-430-4646
0019	1	212-678-8832
0020	1	203-773-8501
0021	1	800-263-1549
0022	1	320 762-0221
0023	1	607-871-2115
0024	1	410 631-1818
0025	1	805 922-6966
0026	1	814 652-9528
0027	1	814 445-9848
0028	1	316 365-5116
0029	1	989-463-7139
0030	1	912 427-5800
0031	1	818 798-0777
0032	1	212 254-8520
0033	1	806 747-4339
0034	1	303 340-2788
0035	1	602-944-3335
0036	1	919 554-2500
0037	1	208 377-8080
0038	1	602 233-2222
0039	1	413-205-3201
0040	1	310-440-1247
0041	1	318 798-3333
0042	1	317 243-4519
0043	1	219 936-8898
0044	1	864-231-5607
0045	1	765-641-4080
0046	1	207 774-6126
0047	1	269-471-6343
0048	1	409 639-1301
0049	1	763 576-4700
0050	1	763 427-2600
0051	1	601 362-9991
0052	1	513 241-4338
0053	1	215 836-2222
0054	1	212 645-3300
0055	1	503 761-6100
0056	1	828-262-2120
0057	1	703 527-6660
0058	1	303 797-4222
0059	1	215-572-2910
0060	1	480 545-8755
0061	1	623 849-8208
0062	1	480-965-7788
0063	1	602-543-8203
0064	1	602 726-1000
0065	1	870-972-3024
0066	1	501 882-6452
0067	1	870 512-7800
0068	1	704 357-8020
0069	1	303-837-0825
0070	1	949-376-6000
0071	1	859-858-3511
0072	1	606 329-2999
0073	1	606 928-6427, extension 2
0074	1	860 253-3000
0075	1	480-965-3332
0076	1	706 542-8050
0077	1	817 284-1141
0078	1	305 628-1000
0079	1	770 242-7717
0080	1	770 454-7167
0081	1	609 625-2249
0082	1	954 977-2000
0083	1	334-844-4080
0084	1	334-244-3611
0085	1	212-343-1234
0086	1	612-330-1001
0087	1	309-794-7341
0088	1	903-813-3000
0089	1	512 223-7000
0090	1	610 363-6716
0091	1	816 501-3601
0092	1	816-942-8400
0093	1	626-812-3016
0094	1	781-239-5522
0095	1	781-239-5591
0096	1	918 683-4581
0097	1	661 395-4011
0098	1	440-826-2222
0099	1	765-285-8300
0100	1	410 462-8000
0101	1	410 752-4710
0102	1	570-586-2400
0103	1	617 364-3510
0104	1	704-789-2901
0105	1	717 763-4787
0106	1	212-854-2014
0107	1	305-899-3100
0108	1	760 252-2411
0109	1	252-399-6317
0110	1	620 792-2701
0111	1	646-312-1300
0112	1	800 221-2001
0113	1	413-565-1331
0114	1	617 236-8000
0115	1	254-710-3435
0116	1	254-710-3718
0117	1	352-787-7249
0118	1	252 946-6194
0119	1	508-791-9241
0120	1	859 371-9393
0121	1	303 751-8700
0122	1	601-968-5940
0123	1	425 564-1000
0124	1	402-293-2000
0125	1	360 738-0221
0126	1	704-825-6665
0127	1	803-253-5143
0128	1	802-440-4312
0129	1	781-891-2108
0130	1	859-985-3500
0131	1	201 343-6000
0132	1	201 652-0388
0133	1	732 750-1800
0134	1	212 986-4343
0135	1	973 278-5400
0136	1	914 694-1122
0137	1	706-236-2215
0138	1	804 330-0111
0139	1	304-829-7611
0140	1	316-284-5230
0141	1	651-638-6242
0142	1	386-481-2600
0143	1	404-627-2681
0144	1	205 648-3271
0145	1	412 323-4000
0146	1	562-903-4752
0147	1	205-226-4696
0148	1	334 690-6801
0149	1	701 224-5400
0150	1	910 862-2164
0151	1	217-228-5520
0152	1	979 830-4000
0153	1	662-685-4771
0154	1	541 276-1260
0155	1	540 234-9261
0156	1	304-327-4065
0157	1	419-358-3257
0158	1	660 882-5306
0159	1	617-552-3100
0160	1	617-912-9153
0161	1	617-353-2300
0162	1	617 353-3481, 800 992 651
0163	1	617 353-9760
0164	1	617 353-3350
0165	1	617-552-3920
0166	1	617-353-2670
0167	1	617-638-4630
0168	1	617 353-2713
0169	1	617-353-3100
0170	1	617 353-3036
0171	1	301-860-3415
0172	1	270 746-7461
0173	1	502 651-5673
0174	1	814-362-7555
0175	1	309-677-1000
0176	1	718 261-5800
0177	1	781-736-3820
0178	1	203 488-2525
0179	1	770-534-6100
0180	1	270-686-4241
0181	1	321 632-1111
0182	1	912-583-3265
0183	1	712-279-5200
0184	1	860 628-4751
0185	1	732 477-0975
0186	1	540-828-5375
0187	1	508-531-1237
0188	1	801-422-2507
0189	1	508 678-2811
0190	1	410 254-2770
0191	1	972 860-4700
0192	1	954 761-7400
0193	1	404 876-1227
0194	1	401-863-2600
0195	1	910 755-7300
0196	1	785 272-0889
0197	1	417 862-5700
0198	1	213 484-8850
0199	1	216 265-3151
0200	1	414 276-5200
0201	1	401-232-6100
0202	1	562 945-9191
0203	1	215-938-2511
0204	1	610-526-5152
0205	1	712-749-2235
0206	1	617 859-9110
0207	1	508 849-1900
0208	1	609 894-9311
0209	1	516 561-0050
0210	1	201 845-5800
0211	1	316 321-2222
0212	1	724 287-8711
0213	1	317-940-8100
0214	1	530 895-2511
0215	1	704 783-1555
0216	1	610-902-8552
0217	1	909-869-3210
0218	1	828 726-2200
