university	embark	type
2000	2000	2000	5
0000	1	Public
0001	1	Private
0002	1	Private
0003	1	Private
0004	1	Private
0005	1	PRIVATE
0006	1	PRIVATE
0007	1	PRIVATE
0008	1	Private
0009	1	Public
0010	1	Private
0011	1	Private
0012	1	Public
0013	1	Private
0014	1	Private
0015	1	Public
0016	1	Public
0017	1	PUBLIC
0018	1	PUBLIC
0019	1	PRIVATE
0020	1	PRIVATE
0021	1	PRIVATE
0022	1	Public
0023	1	PRIVATE
0024	1	Private
0025	1	Public
0026	1	Public
0027	1	Public
0028	1	Public
0029	1	PRIVATE
0030	1	Public
0031	1	Private
0032	1	Private
0033	1	Private
0034	1	Private
0035	1	PRIVATE
0036	1	Private
0037	1	Private
0038	1	Private
0039	1	PRIVATE
0040	1	PRIVATE
0041	1	Private
0042	1	Private
0043	1	Private
0044	1	PRIVATE
0045	1	PRIVATE
0046	1	Private
0047	1	PRIVATE
0048	1	Public
0049	1	Public
0050	1	Public
0051	1	Private
0052	1	Private
0053	1	Private
0054	1	Private
0055	1	Private
0056	1	PUBLIC
0057	1	Private
0058	1	Public
0059	1	PRIVATE
0060	1	Private
0061	1	Private
0062	1	PUBLIC
0063	1	PUBLIC
0064	1	Public
0065	1	PUBLIC
0066	1	Public
0067	1	Public
0068	1	Private
0069	1	PROPRIETAR
0070	1	PRIVATE
0071	1	PRIVATE
0072	1	Public
0073	1	Public
0074	1	Public
0075	1	Public
0076	1	Public
0077	1	Private
0078	1	Private
0079	1	Private
0080	1	Private
0081	1	Public
0082	1	Public
0083	1	PUBLIC
0084	1	PUBLIC
0085	1	PRIVATE
0086	1	PRIVATE
0087	1	PRIVATE
0088	1	PRIVATE
0089	1	Public
0090	1	Private
0091	1	Private
0092	1	PRIVATE
0093	1	PRIVATE
0094	1	PRIVATE
0095	1	Private
0096	1	Private
0097	1	Public
0098	1	PRIVATE
0099	1	PUBLIC
0100	1	Public
0101	1	Private
0102	1	PRIVATE
0103	1	Private
0104	1	PRIVATE
0105	1	Private
0106	1	PRIVATE
0107	1	PRIVATE
0108	1	Public
0109	1	PRIVATE
0110	1	Public
0111	1	Public
0112	1	Public
0113	1	PRIVATE
0114	1	Private
0115	1	PRIVATE
0116	1	Private
0117	1	PRIVATE
0118	1	Public
0119	1	PRIVATE
0120	1	Private
0121	1	Private
0122	1	PRIVATE
0123	1	Public
0124	1	PRIVATE
0125	1	Public
0126	1	PRIVATE
0127	1	PRIVATE
0128	1	PRIVATE
0129	1	Private
0130	1	PRIVATE
0131	1	Public
0132	1	Private
0133	1	Private
0134	1	Private
0135	1	Private
0136	1	Private
0137	1	PRIVATE
0138	1	Private
0139	1	PRIVATE
0140	1	PRIVATE
0141	1	PRIVATE
0142	1	PRIVATE
0143	1	PRIVATE
0144	1	Public
0145	1	Private
0146	1	PRIVATE
0147	1	PRIVATE
0148	1	Public
0149	1	Public
0150	1	Public
0151	1	PRIVATE
0152	1	Public
0153	1	PRIVATE
0154	1	Public
0155	1	Public
0156	1	PUBLIC
0157	1	PRIVATE
0158	1	Public
0159	1	PRIVATE
0160	1	PRIVATE
0161	1	PRIVATE
0162	1	Private
0163	1	Private
0164	1	Private
0165	1	Private
0166	1	Private
0167	1	Private
0168	1	Private
0169	1	Private
0170	1	Private
0171	1	PUBLIC
0172	1	Public
0173	1	Public
0174	1	PUBLIC
0175	1	PRIVATE
0176	1	Private
0177	1	Private
0178	1	Private
0179	1	PRIVATE
0180	1	PRIVATE
0181	1	Public
0182	1	PRIVATE
0183	1	PRIVATE
0184	1	Private
0185	1	Private
0186	1	PRIVATE
0187	1	PUBLIC
0188	1	PRIVATE
0189	1	Public
0190	1	Private
0191	1	Public
0192	1	Public
0193	1	Private
0194	1	Private
0195	1	Public
0196	1	Private
0197	1	Private
0198	1	Private
0199	1	Private
0200	1	Private
0201	1	PRIVATE
0202	1	Private
0203	1	PRIVATE
0204	1	PRIVATE
0205	1	PRIVATE
0206	1	Private
0207	1	Private
0208	1	Public
0209	1	Private
0210	1	Private
0211	1	Public
0212	1	Public
0213	1	PRIVATE
0214	1	Public
0215	1	Private
0216	1	PRIVATE
0217	1	Public
0218	1	Public
0219	1	PRIVATE
0220	1	Private
0221	1	Private
0222	1	PRIVATE
0223	1	PRIVATE
0224	1	PRIVATE
0225	1	Private
0226	1	Public
0227	1	PUBLIC
0228	1	PUBLIC
0229	1	PUBLIC
0230	1	PUBLIC
0231	1	PUBLIC
0232	1	PUBLIC
0233	1	Public
0234	1	Public
0235	1	Public
0236	1	Public
0237	1	Private
0238	1	Private
0239	1	Private
0240	1	PRIVATE
0241	1	Private
0242	1	Private
0243	1	Private
0244	1	Public
0245	1	Private
0246	1	Private
0247	1	Private
0248	1	PRIVATE
0249	1	Private
0250	1	PRIVATE
0251	1	Public
0252	1	PRIVATE
0253	1	Public
0254	1	PRIVATE
0255	1	Public
0256	1	PRIVATE
0257	1	Private
0258	1	Public
0259	1	PRIVATE
0260	1	Public
0261	1	PRIVATE
0262	1	Public
0263	1	PRIVATE
0264	1	Public
0265	1	Public
0266	1	Public
0267	1	Public
0268	1	Public
0269	1	Private
0270	1	PRIVATE
0271	1	Public
0272	1	Public
0273	1	Public
0274	1	Private
0275	1	PUBLIC
0276	1	PUBLIC
0277	1	Public
0278	1	PRIVATE
0279	1	Private
0280	1	Public
0281	1	PRIVATE
0282	1	Public
0283	1	Private
0284	1	PRIVATE
0285	1	Private
0286	1	Public
0287	1	Public
0288	1	PRIVATE
0289	1	PUBLIC
0290	1	Public
0291	1	Public
0292	1	PRIVATE
0293	1	PRIVATE
0294	1	PRIVATE
0295	1	PRIVATE
0296	1	Public
0297	1	PRIVATE
0298	1	Public
0299	1	Private
0300	1	Public
0301	1	PRIVATE
0302	1	PRIVATE
0303	1	Public
0304	1	PRIVATE
0305	1	PRIVATE
0306	1	PUBLIC
0307	1	Public
0308	1	PRIVATE
0309	1	PUBLIC
0310	1	Public
0311	1	Public
0312	1	PRIVATE
0313	1	Private
0314	1	Private
0315	1	Private
0316	1	PUBLIC
0317	1	Private
0318	1	Public
0319	1	Public
0320	1	Public
0321	1	Public
0322	1	PRIVATE
0323	1	PRIVATE
0324	1	Public
0325	1	PRIVATE
0326	1	PRIVATE
0327	1	Public
0328	1	Public
0329	1	Private
0330	1	Private
0331	1	Private
0332	1	Public
0333	1	PRIVATE
0334	1	PRIVATE
0335	1	Public
0336	1	PRIVATE
0337	1	PRIVATE
0338	1	Public
0339	1	PRIVATE
0340	1	Public
0341	1	Public
0342	1	Public
0343	1	PRIVATE
0344	1	PUBLIC
0345	1	Public
0346	1	PRIVATE
0347	1	Private
0348	1	Private
0349	1	Public
0350	1	PRIVATE
0351	1	PRIVATE
0352	1	Public
0353	1	Public
0354	1	PRIVATE
0355	1	Public
0356	1	Private
0357	1	PRIVATE
0358	1	Private
0359	1	Public
0360	1	Private
0361	1	Public
0362	1	Public
0363	1	Private
0364	1	Private
0365	1	Public
0366	1	Public
0367	1	Public
0368	1	Public
0369	1	Public
0370	1	Public
0371	1	Private
0372	1	Private
0373	1	Private
0374	1	PRIVATE
0375	1	Private
0376	1	Private
0377	1	Private
0378	1	Private
0379	1	Private
0380	1	Private
0381	1	PRIVATE
0382	1	PRIVATE
0383	1	PUBLIC
0384	1	PRIVATE
0385	1	PRIVATE
0386	1	Private
0387	1	Private
0388	1	PRIVATE
0389	1	Private
0390	1	Public
0391	1	Public
0392	1	Public
0393	1	PUBLIC
0394	1	PRIVATE
0395	1	Private
0396	1	PRIVATE
0397	1	PRIVATE
0398	1	PRIVATE
0399	1	Public
0400	1	Public
0401	1	Public
0402	1	Private
0403	1	Public
0404	1	PRIVATE
0405	1	Public
0406	1	PRIVATE
0407	1	Private
0408	1	Private
0409	1	Public
0410	1	Private
0411	1	Public
0412	1	Public
0413	1	PUBLIC
0414	1	PUBLIC
0415	1	PUBLIC
0416	1	Private
0417	1	Public
0418	1	Public
0419	1	Public
0420	1	PRIVATE
0421	1	Public
0422	1	Public
0423	1	Private
0424	1	Private
0425	1	Private
0426	1	PRIVATE
0427	1	Public
0428	1	PRIVATE
0429	1	Public
0430	1	Public
0431	1	Public
0432	1	PROPRIETAR
0433	1	Private
0434	1	Private
0435	1	Public
0436	1	Public
0437	1	PRIVATE
0438	1	Public
0439	1	PUBLIC
0440	1	Private
0441	1	PRIVATE
0442	1	Public
0443	1	Public
0444	1	Private
0445	1	PROPRIETAR
0446	1	PROPRIETAR
0447	1	PROPRIETAR
0448	1	PROPRIETAR
0449	1	PROPRIETAR
0450	1	PROPRIETAR
0451	1	PROPRIETAR
0452	1	PROPRIETAR
0453	1	PROPRIETAR
0454	1	PROPRIETAR
0455	1	PROPRIETAR
0456	1	PROPRIETAR
0457	1	PROPRIETAR
0458	1	PRIVATE
0459	1	Private
0460	1	PRIVATE
0461	1	Private
0462	1	Private
0463	1	Public
0464	1	PRIVATE
0465	1	Public
0466	1	Private
0467	1	Private
0468	1	PRIVATE
0469	1	Private
0470	1	Private
0471	1	Private
0472	1	PRIVATE
0473	1	PRIVATE
0474	1	Private
0475	1	Public
0476	1	Public
0477	1	PRIVATE
0478	1	PRIVATE
0479	1	Public
0480	1	PUBLIC
0481	1	Public
0482	1	Private
