university	embark	website
2000	2000	2000	1833
0000	1	http://stallion.abac.peachnet.edu
0001	1	http://www.academycollege.edu
0002	1	http://www.ahamassage.org
0003	1	http://www.acadcampus.com
0004	1	http://www.academypacific.com
0005	1	www.adelphi.edu
0006	1	www.adrian.edu
0007	1	www.agnesscott.edu
0008	1	http://www.aib.edu
0009	1	http://www.aik.tec.sc.us
0010	1	http://www.aimsacademy.com
0011	1	http://www.aimsacademy.com
0012	1	http://www.aims.edu
0013	1	http://www.akroninstitute.com
0014	1	http://www.akronmach.com
0015	1	http://www.ascc.edu
0016	1	http://www.ascc.edu
0017	1	www.alasu.edu
0018	1	www.asurams.edu
0019	1	www.jtsa.edu
0020	1	www.albertus.edu
0021	1	www.ab.edu
0022	1	http://www.alextech.org
0023	1	www.alfred.edu
0024	1	http://www.allstatecareer.com
0025	1	http://www.hancock.cc.ca.us
0026	1	http://www.ac.cc.md.us
0027	1	http://www.ac.cc.md.us
0028	1	http://www.allencc.net
0029	1	www.alma.edu
0030	1	http://www.altamahatech.org
0031	1	http://www.aada.org
0032	1	http://www.joffreyballetschool.com
0033	1	http://www.accedu.com
0034	1	http://www.ahsu.edu
0035	1	www.aicag.edu
0036	1	http://www.aiasinc.com
0037	1	http://www.aiht.com
0038	1	http://www.ait-schools.com/
0039	1	www.aic.edu
0040	1	www.ajula.edu
0041	1	http://www.americanschoolofbusiness.com
0042	1	http://www.aviationtraining.net
0043	1	http://www.ancilla.edu
0044	1	www.ac.edu
0045	1	www.anderson.edu
0046	1	http://www.andovercollege.com
0047	1	www.andrews.edu
0048	1	http://www.angelina.cc.tx.us
0049	1	http://www.ank.tec.mn.us
0050	1	http://www.anokaramsey.mnscu.edu
0051	1	http://www.antonellic.com
0052	1	http://www.antonellic.com
0053	1	http://www.antonelli.org
0054	1	http://www.apextech.org
0055	1	http://www.apollocollege.com
0056	1	www.appstate.edu/
0057	1	http://www.healthtraining.com
0058	1	http://www.arapahoe.edu
0059	1	www.arcadia.edu
0060	1	http://www.aibt.edu
0061	1	http://www.aibt.edu
0062	1	www.asu.edu
0063	1	www.west.asu.edu
0064	1	http://www.awc.cc.az.us
0065	1	www.astate.edu
0066	1	http://www.asub.arknet.edu
0067	1	http://www.asun.arknet.edu
0068	1	http://www.aich.artinstitutes.edu
0069	1	www.aic.artinstitutes.edu
0070	1	www.aisc.edu
0071	1	www.asbury.edu
0072	1	http://www.ashlandcc.org
0073	1	http://www.ashland-rtc.org
0074	1	http://www.asctc.commnet.edu
0075	1	wpcarey.asu.edu/mba
0076	1	http://admin1.athens.tec.ga.us
0077	1	http://www.aticareertraining.com
0078	1	http://www.aticareertraining.com
0079	1	http://www.aim-music.com
0080	1	http://www.atlantaschoolofmassage.com
0081	1	http://www.acvts.org
0082	1	http://www.atlantictechcenter.com
0083	1	www.auburn.edu
0084	1	www.aum.edu
0085	1	www.metropolitan.edu
0086	1	www.augsburg.edu
0087	1	www.augustana.edu
0088	1	www.austincollege.edu
0089	1	http://www.austin.cc.tx.us
0090	1	http://www.autotraining.com
0091	1	www.avila.edu
0092	1	www.avila.edu
0093	1	www.apu.edu
0094	1	www3.babson.edu
0095	1	www.babson.edu/mba
0096	1	http://www.bacone.edu
0097	1	http://www.bakersfieldcollege.org
0098	1	www.bw.edu
0099	1	www.bsu.edu
0100	1	http://www.bccc.state.md.us
0101	1	http://www.bic.edu
0102	1	www.bbc.edu
0103	1	http://www.bbceast.edu
0104	1	www.barber-scotia.edu
0105	1	http://www.barberschool.com
0106	1	www.barnard.edu
0107	1	www.barry.edu
0108	1	http://www.barstow.cc.ca.us
0109	1	www.barton.edu
0110	1	http://www.barton.cc.ks.us
0111	1	www.zicklin.baruch.cuny.edu
0112	1	http://www.baydenoc.cc.mi.us
0113	1	www.baypath.edu
0114	1	http://www.baystate.edu
0115	1	www.baylor.edu
0116	1	www.baylor.edu/mba
0117	1	www.beaconcollege.edu
0118	1	http://www.beaufort.cc.nc.us
0119	1	www.beckercollege.edu
0120	1	http://www.beckfieldcollege.com
0121	1	http://www.bel-rea.com
0122	1	www.belhaven.edu
0123	1	http://www.bcc.ctc.edu
0124	1	www.bellevue.edu
0125	1	http://www.beltc.ctc.edu
0126	1	www.belmontabbeycollege.edu
0127	1	www.benedict.edu
0128	1	www.bennington.edu
0129	1	www.bentley.edu
0130	1	www.berea.edu
0131	1	http://www.bergen.org
0132	1	http://www.berkeleycollege.edu
0133	1	http://www.berkeleycollege.edu
0134	1	http://www.berkeleycollege.edu
0135	1	http://www.berkeleycollege.edu
0136	1	http://www.berkeleycollege.edu
0137	1	www.berry.edu
0138	1	http://www.betatechrichmond.com
0139	1	www.bethanywv.edu
0140	1	www.bethelks.edu
0141	1	www.bethel.edu
0142	1	www.bethune.cookman.edu
