university	matchcollege	phone
2000	2000	2000	1980
0000	1	(256) 372-5000
0001	1	(334) 844-4000
0002	1	(256) 782-5781
0003	1	(205) 348-6010
0004	1	(334) 670-3100
0005	1	(256) 824-6120
0006	1	(251) 460-6101
0007	1	(205) 652-3400
0008	1	(251) 575-3156 x8252
0009	1	(205) 648-3271 x5400
0010	1	(251) 405-7000
0011	1	(334) 291-4900
0012	1	(334) 347-2623
0013	1	(334) 983-3521
0014	1	(256) 352-8000
0015	1	(256) 539-8161
0016	1	(251) 580-2100
0017	1	(205) 853-1200
0018	1	(205) 925-2515
0019	1	(334) 222-6591
0020	1	(205) 638-4418 x234
0021	1	(205) 391-2347
0022	1	(256) 395-2211
0023	1	(334) 874-5700 x110
0024	1	(256) 766-6610
0025	1	(205) 916-2800
0026	1	(256) 539-0834
0027	1	(205) 929-1000
0028	1	(256) 726-7000
0029	1	(205) 726-2011
0030	1	(251) 380-4000
0031	1	(334) 727-8011
0032	1	(251) 675-5990
0033	1	(205) 802-1200
0034	1	(251) 344-1203
0035	1	(334) 271-1670
0036	1	(251) 473-2220
0037	1	(251) 970-1460
0038	1	(205) 323-1011
0039	1	(907) 277-1000
0040	1	(229) 391-5001
0041	1	(678) 466-4000
0042	1	(706) 272-4436
0043	1	(678) 717-3639
0044	1	(404) 413-2000
0045	1	(770) 358-5000
0046	1	(770) 423-6000
0047	1	(478) 471-2700
0048	1	(706) 721-0211
0049	1	(678) 915-7778
0050	1	(229) 333-5800
0051	1	(706) 355-5000
0052	1	(706) 771-4000
0053	1	(866) 825-1715
0054	1	(770) 528-4545
0055	1	(912) 279-5701
0056	1	(706) 649-1800
0057	1	(229) 468-2000
0058	1	(478) 289-2000
0059	1	(706) 646-6148
0060	1	(800) 332-2406
0061	1	(478) 445-2700
0062	1	(404) 616-3505
0063	1	(770) 228-7348
0064	1	(770) 962-7580
0065	1	(770) 975-4000
0066	1	(912) 681-5500
0067	1	(229) 931-2394
0068	1	(912) 538-3100
0069	1	(912) 449-7600
0070	1	(404) 965-6500 x8118
0071	1	(706) 774-8897
0072	1	(404) 237-7573
0073	1	(706) 323-5364 x259
0074	1	(404) 627-2681
0075	1	(770) 534-6299
0076	1	(912) 583-2241
0077	1	(706) 820-1560
0078	1	(404) 816-4533 x116
0079	1	(404) 527-7700
0080	1	(706) 880-8000
0081	1	(800) 543-3202
0082	1	(478) 301-2700
0083	1	(404) 681-2800
0084	1	(706) 778-3000
0085	1	(770) 720-5600
0086	1	(912) 525-5000
0087	1	(229) 226-1621
0088	1	(706) 865-2134
0089	1	(478) 477-1110
0090	1	(770) 576-4498
0091	1	(706) 738-5046
0092	1	(404) 607-8880
0093	1	(478) 314-4444
0094	1	(770) 242-7717 x14
0095	1	(770) 454-7167
0096	1	(706) 863-4799
0097	1	(404) 361-4098
0098	1	(570) 429-4321 x2414
0099	1	(770) 461-4669
0100	1	(706) 342-9673
0101	1	(404) 284-8121 x229
0102	1	(404) 299-5156
0103	1	(770) 457-2021
0104	1	(808) 956-7651
0105	1	(808) 974-7611
0106	1	(808) 845-9129
0107	1	(808) 734-9000
0108	1	(808) 245-8311
0109	1	(808) 455-0011
0110	1	(808) 235-7400
0111	1	(808) 735-4711
0112	1	(808) 544-0200
0113	1	(808) 949-1050
0114	1	(808) 527-2700
