university	matchcollege	type
2000	2000	2000	9
0000	1	Public, 4-Year or Above
0001	1	Public, 4-Year or Above
0002	1	Public, 4-Year or Above
0003	1	Public, 4-Year or Above
0004	1	Public, 4-Year or Above
0005	1	Public, 4-Year or Above
0006	1	Public, 4-Year or Above
0007	1	Public, 4-Year or Above
0008	1	Public, 2-Year
0009	1	Public, 2-Year
0010	1	Public, 2-Year
0011	1	Public, 2-Year
0012	1	Public, 2-Year
0013	1	Public, 2-Year
0014	1	Public, 2-Year
0015	1	Public, 2-Year
0016	1	Public, 2-Year
0017	1	Public, 2-Year
0018	1	Public, 2-Year
0019	1	Public, 2-Year
0020	1	Public, 2-Year
0021	1	Public, 2-Year
0022	1	Public, 2-Year
0023	1	Private Not-For-Profit, 4-Year or Above
0024	1	Private Not-For-Profit, 4-Year or Above
0025	1	Private For-Profit, 4-Year or Above
0026	1	Private Not-For-Profit, 4-Year or Above
0027	1	Private Not-For-Profit, 4-Year or Above
0028	1	Private Not-For-Profit, 4-Year or Above
0029	1	Private Not-For-Profit, 4-Year or Above
0030	1	Private Not-For-Profit, 4-Year or Above
0031	1	Private Not-For-Profit, 4-Year or Above
0032	1	Private Not-For-Profit, 4-Year or Above
0033	1	Private For-Profit, 4-Year or Above
0034	1	Private For-Profit, 2-Year
0035	1	Private For-Profit, 2-Year
0036	1	Private For-Profit, Less-Than 2-Year
0037	1	Private For-Profit, Less-Than 2-Year
0038	1	Private Not-For-Profit, Less-Than 2-Year
0039	1	Private For-Profit, 4-Year or Above
0040	1	Public, 4-Year or Above
0041	1	Public, 4-Year or Above
0042	1	Public, 4-Year or Above
0043	1	Public, 4-Year or Above
0044	1	Public, 4-Year or Above
0045	1	Public, 4-Year or Above
0046	1	Public, 4-Year or Above
0047	1	Public, 4-Year or Above
0048	1	Public, 4-Year or Above
0049	1	Public, 4-Year or Above
0050	1	Public, 4-Year or Above
0051	1	Public, 2-Year
0052	1	Public, 2-Year
0053	1	Public, 2-Year
0054	1	Public, 2-Year
0055	1	Public, 2-Year
0056	1	Public, 2-Year
0057	1	Public, 2-Year
0058	1	Public, 2-Year
0059	1	Public, 2-Year
0060	1	Public, 2-Year
0061	1	Public, 2-Year
0062	1	Public, 2-Year
0063	1	Public, 2-Year
0064	1	Public, 2-Year
0065	1	Public, 2-Year
0066	1	Public, 2-Year
0067	1	Public, 2-Year
0068	1	Public, 2-Year
0069	1	Public, 2-Year
0070	1	Private For-Profit, 4-Year or Above
0071	1	Private Not-For-Profit, 4-Year or Above
0072	1	Private For-Profit, 4-Year or Above
0073	1	Private Not-For-Profit, 4-Year or Above
0074	1	Private Not-For-Profit, 4-Year or Above
0075	1	Private Not-For-Profit, 4-Year or Above
0076	1	Private Not-For-Profit, 4-Year or Above
0077	1	Private Not-For-Profit, 4-Year or Above
0078	1	Private For-Profit, 4-Year or Above
0079	1	Private Not-For-Profit, 4-Year or Above
0080	1	Private Not-For-Profit, 4-Year or Above
0081	1	Private Not-For-Profit, 4-Year or Above
0082	1	Private Not-For-Profit, 4-Year or Above
0083	1	Private Not-For-Profit, 4-Year or Above
0084	1	Private Not-For-Profit, 4-Year or Above
0085	1	Private Not-For-Profit, 4-Year or Above
0086	1	Private Not-For-Profit, 4-Year or Above
0087	1	Private Not-For-Profit, 4-Year or Above
0088	1	Private Not-For-Profit, 4-Year or Above
0089	1	Private Not-For-Profit, 4-Year or Above
0090	1	Private For-Profit, 2-Year
0091	1	Private For-Profit, 2-Year
0092	1	Private For-Profit, 2-Year
0093	1	Private For-Profit, Less-Than 2-Year
0094	1	Private For-Profit, Less-Than 2-Year
0095	1	Private For-Profit, Less-Than 2-Year
0096	1	Private For-Profit, Less-Than 2-Year
0097	1	Private For-Profit, Less-Than 2-Year
0098	1	Private For-Profit, Less-Than 2-Year
0099	1	Private For-Profit, Less-Than 2-Year
0100	1	Private For-Profit, Less-Than 2-Year
0101	1	Private For-Profit, Less-Than 2-Year
0102	1	Private For-Profit, Less-Than 2-Year
0103	1	Private For-Profit, Less-Than 2-Year
0104	1	Public, 4-Year or Above
0105	1	Public, 2-Year
0106	1	Public, 2-Year
0107	1	Public, 2-Year
0108	1	Public, 2-Year
0109	1	Public, 2-Year
0110	1	Public, 2-Year
0111	1	Private Not-For-Profit, 4-Year or Above
0112	1	Private Not-For-Profit, 4-Year or Above
0113	1	Private Not-For-Profit, 4-Year or Above
0114	1	Private Not-For-Profit, Less-Than 2-Year
0115	1	Private For-Profit, Less-Than 2-Year
0116	1	Private For-Profit, Less-Than 2-Year
0117	1	Public, 4-Year or Above
0118	1	Public, 2-Year
0119	1	Public, 2-Year
0120	1	Public, 2-Year
0121	1	Private Not-For-Profit, 4-Year or Above
0122	1	Private For-Profit, 4-Year or Above
0123	1	Private Not-For-Profit, 4-Year or Above
0124	1	Private Not-For-Profit, 4-Year or Above
0125	1	Private For-Profit, 2-Year
0126	1	Private For-Profit, 2-Year
0127	1	Private For-Profit, 2-Year
0128	1	Private For-Profit, 2-Year
0129	1	Public, 4-Year or Above
0130	1	Public, 4-Year or Above
0131	1	Public, 4-Year or Above
0132	1	Public, 4-Year or Above
0133	1	Public, 4-Year or Above
0134	1	Public, 4-Year or Above
0135	1	Public, 4-Year or Above
0136	1	Public, 2-Year
0137	1	Public, 2-Year
0138	1	Public, 2-Year
0139	1	Public, 2-Year
0140	1	Public, 2-Year
0141	1	Public, 2-Year
0142	1	Public, 2-Year
0143	1	Public, 2-Year
0144	1	Public, 2-Year
0145	1	Public, 2-Year
0146	1	Public, 2-Year
0147	1	Public, 2-Year
0148	1	Public, 2-Year
0149	1	Public, 2-Year
0150	1	Public, 2-Year
0151	1	Public, 2-Year
0152	1	Public, 2-Year
0153	1	Public, 2-Year
0154	1	Public, 2-Year
0155	1	Public, 2-Year
0156	1	Public, 2-Year
0157	1	Public, Less-Than 2-Year
0158	1	Private Not-For-Profit, 4-Year or Above
0159	1	Private Not-For-Profit, 4-Year or Above
0160	1	Private Not-For-Profit, 4-Year or Above
0161	1	Private Not-For-Profit, 4-Year or Above
0162	1	Private For-Profit, 4-Year or Above
0163	1	Private Not-For-Profit, 4-Year or Above
0164	1	Private Not-For-Profit, 4-Year or Above
0165	1	Private Not-For-Profit, 4-Year or Above
0166	1	Private Not-For-Profit, 4-Year or Above
0167	1	Private For-Profit, 4-Year or Above
0168	1	Private Not-For-Profit, 4-Year or Above
0169	1	Private Not-For-Profit, 4-Year or Above
0170	1	Private Not-For-Profit, 4-Year or Above
0171	1	Private Not-For-Profit, 4-Year or Above
0172	1	Private Not-For-Profit, 4-Year or Above
0173	1	Private For-Profit, 4-Year or Above
0174	1	Private Not-For-Profit, 4-Year or Above
0175	1	Private Not-For-Profit, 4-Year or Above
0176	1	Private Not-For-Profit, 4-Year or Above
0177	1	Private Not-For-Profit, 4-Year or Above
0178	1	Private Not-For-Profit, 4-Year or Above
0179	1	Private Not-For-Profit, 4-Year or Above
0180	1	Private Not-For-Profit, 4-Year or Above
0181	1	Private Not-For-Profit, 4-Year or Above
0182	1	Private Not-For-Profit, 4-Year or Above
0183	1	Private Not-For-Profit, 4-Year or Above
0184	1	Private Not-For-Profit, 4-Year or Above
0185	1	Private Not-For-Profit, 4-Year or Above
0186	1	Private Not-For-Profit, 4-Year or Above
0187	1	Private Not-For-Profit, 4-Year or Above
0188	1	Private Not-For-Profit, 4-Year or Above
0189	1	Private Not-For-Profit, 4-Year or Above
0190	1	Private Not-For-Profit, 4-Year or Above
0191	1	Private Not-For-Profit, 4-Year or Above
0192	1	Private Not-For-Profit, 4-Year or Above
0193	1	Private Not-For-Profit, 2-Year
0194	1	Private For-Profit, 2-Year
0195	1	Private For-Profit, 2-Year
0196	1	Private For-Profit, 2-Year
0197	1	Private For-Profit, 2-Year
0198	1	Private Not-For-Profit, 2-Year
0199	1	Private Not-For-Profit, 2-Year
0200	1	Private For-Profit, 2-Year
0201	1	Private For-Profit, 2-Year
0202	1	Private For-Profit, 2-Year
0203	1	Private For-Profit, 2-Year
0204	1	Private For-Profit, Less-Than 2-Year
0205	1	Private For-Profit, Less-Than 2-Year
0206	1	Private For-Profit, Less-Than 2-Year
0207	1	Private For-Profit, Less-Than 2-Year
0208	1	Private For-Profit, Less-Than 2-Year
0209	1	Private For-Profit, Less-Than 2-Year
0210	1	Public, 4-Year or Above
0211	1	Public, 4-Year or Above
0212	1	Public, 4-Year or Above
0213	1	Public, 4-Year or Above
0214	1	Public, 4-Year or Above
0215	1	Public, 4-Year or Above
0216	1	Public, 4-Year or Above
0217	1	Public, 4-Year or Above
0218	1	Public, 4-Year or Above
0219	1	Public, 2-Year
0220	1	Public, 2-Year
0221	1	Public, 2-Year
0222	1	Public, 2-Year
0223	1	Public, 2-Year
0224	1	Public, 2-Year
0225	1	Public, 2-Year
0226	1	Public, 2-Year
0227	1	Public, Less-Than 2-Year
0228	1	Private Not-For-Profit, 4-Year or Above
0229	1	Private Not-For-Profit, 4-Year or Above
0230	1	Private For-Profit, 4-Year or Above
0231	1	Private Not-For-Profit, 4-Year or Above
0232	1	Private Not-For-Profit, 4-Year or Above
0233	1	Private Not-For-Profit, 4-Year or Above
0234	1	Private Not-For-Profit, 4-Year or Above
0235	1	Private Not-For-Profit, 4-Year or Above
0236	1	Private Not-For-Profit, 4-Year or Above
0237	1	Private Not-For-Profit, 4-Year or Above
0238	1	Private For-Profit, 4-Year or Above
0239	1	Private For-Profit, 4-Year or Above
0240	1	Private For-Profit, 4-Year or Above
0241	1	Private Not-For-Profit, 4-Year or Above
0242	1	Private Not-For-Profit, 4-Year or Above
0243	1	Private Not-For-Profit, 4-Year or Above
0244	1	Private Not-For-Profit, 4-Year or Above
0245	1	Private Not-For-Profit, 4-Year or Above
0246	1	Private Not-For-Profit, 4-Year or Above
0247	1	Private Not-For-Profit, 4-Year or Above
0248	1	Private Not-For-Profit, 2-Year
0249	1	Private For-Profit, 2-Year
0250	1	Private For-Profit, 2-Year
0251	1	Private Not-For-Profit, 2-Year
0252	1	Private For-Profit, Less-Than 2-Year
0253	1	Private For-Profit, Less-Than 2-Year
0254	1	Private For-Profit, Less-Than 2-Year
0255	1	Private For-Profit, Less-Than 2-Year
0256	1	Private For-Profit, Less-Than 2-Year
0257	1	Private For-Profit, Less-Than 2-Year
0258	1	Public, 4-Year or Above
0259	1	Public, 2-Year
0260	1	Public, 2-Year
0261	1	Public, 2-Year
0262	1	Public, 2-Year
0263	1	Public, 2-Year
0264	1	Public, 2-Year
0265	1	Private Not-For-Profit, 4-Year or Above
0266	1	Private For-Profit, 4-Year or Above
0267	1	Private Not-For-Profit, 4-Year or Above
0268	1	Private Not-For-Profit, 4-Year or Above
0269	1	Private Not-For-Profit, 4-Year or Above
0270	1	Private Not-For-Profit, 4-Year or Above
0271	1	Private Not-For-Profit, 4-Year or Above
0272	1	Private Not-For-Profit, 4-Year or Above
0273	1	Private Not-For-Profit, 4-Year or Above
0274	1	Private Not-For-Profit, 4-Year or Above
0275	1	Private Not-For-Profit, 4-Year or Above
0276	1	Private Not-For-Profit, 4-Year or Above
0277	1	Private Not-For-Profit, 4-Year or Above
0278	1	Private Not-For-Profit, 4-Year or Above
0279	1	Private Not-For-Profit, 4-Year or Above
0280	1	Private For-Profit, 2-Year
0281	1	Private For-Profit, 2-Year
0282	1	Private For-Profit, 2-Year
0283	1	Private For-Profit, 2-Year
0284	1	Private For-Profit, 2-Year
0285	1	Private For-Profit, 2-Year
0286	1	Private Not-For-Profit, 2-Year
0287	1	Private For-Profit, 2-Year
0288	1	Private For-Profit, 2-Year
0289	1	Private For-Profit, 2-Year
0290	1	Private For-Profit, 2-Year
0291	1	Private For-Profit, 2-Year
0292	1	Private For-Profit, 2-Year
0293	1	Private For-Profit, 2-Year
0294	1	Public, 4-Year or Above
0295	1	Public, 4-Year or Above
0296	1	Public, 2-Year
0297	1	Public, 2-Year
0298	1	Public, 2-Year
0299	1	Public, 2-Year
0300	1	Public, 2-Year
0301	1	Public, 2-Year
0302	1	Public, 2-Year
0303	1	Public, 2-Year
0304	1	Public, 2-Year
0305	1	Public, 2-Year
0306	1	Public, 2-Year
0307	1	Public, 2-Year
0308	1	Public, 2-Year
0309	1	Public, Less-Than 2-Year
0310	1	Private Not-For-Profit, 4-Year or Above
0311	1	Private Not-For-Profit, 4-Year or Above
0312	1	Private Not-For-Profit, 4-Year or Above
0313	1	Private Not-For-Profit, 4-Year or Above
0314	1	Private Not-For-Profit, 4-Year or Above
0315	1	Private Not-For-Profit, 4-Year or Above
0316	1	Private Not-For-Profit, 4-Year or Above
0317	1	Private Not-For-Profit, 4-Year or Above
0318	1	Private Not-For-Profit, 4-Year or Above
0319	1	Private Not-For-Profit, 4-Year or Above
0320	1	Private Not-For-Profit, 4-Year or Above
0321	1	Private Not-For-Profit, 4-Year or Above
0322	1	Private Not-For-Profit, 4-Year or Above
0323	1	Private For-Profit, 2-Year
0324	1	Private Not-For-Profit, Less-Than 2-Year
0325	1	Private For-Profit, Less-Than 2-Year
0326	1	Private For-Profit, Less-Than 2-Year
0327	1	Private For-Profit, Less-Than 2-Year
0328	1	Private For-Profit, Less-Than 2-Year
0329	1	Private For-Profit, Less-Than 2-Year
0330	1	Public, 4-Year or Above
0331	1	Public, 4-Year or Above
0332	1	Public, 4-Year or Above
0333	1	Public, 4-Year or Above
0334	1	Public, 2-Year
0335	1	Public, 2-Year
0336	1	Public, 2-Year
0337	1	Public, 2-Year
0338	1	Public, 2-Year
0339	1	Private Not-For-Profit, 4-Year or Above
0340	1	Private For-Profit, 4-Year or Above
0341	1	Private Not-For-Profit, 4-Year or Above
0342	1	Private Not-For-Profit, 4-Year or Above
0343	1	Private Not-For-Profit, 4-Year or Above
0344	1	Private Not-For-Profit, 4-Year or Above
0345	1	Private Not-For-Profit, 4-Year or Above
0346	1	Private Not-For-Profit, 4-Year or Above
0347	1	Private Not-For-Profit, 4-Year or Above
0348	1	Private Not-For-Profit, 4-Year or Above
0349	1	Private Not-For-Profit, 4-Year or Above
0350	1	Private Not-For-Profit, 4-Year or Above
0351	1	Private Not-For-Profit, 4-Year or Above
0352	1	Private Not-For-Profit, 4-Year or Above
0353	1	Private For-Profit, 2-Year
0354	1	Private For-Profit, 2-Year
0355	1	Private For-Profit, 2-Year
0356	1	Private For-Profit, 2-Year
0357	1	Private For-Profit, 2-Year
0358	1	Private For-Profit, 2-Year
0359	1	Private Not-For-Profit, Less-Than 2-Year
0360	1	Public, 4-Year or Above
0361	1	Public, 4-Year or Above
0362	1	Public, 4-Year or Above
0363	1	Public, 4-Year or Above
0364	1	Public, 4-Year or Above
0365	1	Public, 4-Year or Above
0366	1	Public, 4-Year or Above
0367	1	Public, 4-Year or Above
0368	1	Public, 4-Year or Above
0369	1	Public, 2-Year
0370	1	Public, 2-Year
0371	1	Public, 2-Year
0372	1	Public, 2-Year
0373	1	Public, 2-Year
0374	1	Public, 2-Year
0375	1	Public, 2-Year
0376	1	Private Not-For-Profit, 4-Year or Above
0377	1	Private Not-For-Profit, 4-Year or Above
0378	1	Private Not-For-Profit, 4-Year or Above
0379	1	Private Not-For-Profit, 4-Year or Above
0380	1	Private For-Profit, 2-Year
0381	1	Private For-Profit, 2-Year
0382	1	Private For-Profit, 2-Year
0383	1	Private For-Profit, 2-Year
0384	1	Private For-Profit, 2-Year
0385	1	Private For-Profit, 2-Year
0386	1	Private For-Profit, 2-Year
0387	1	Private For-Profit, Less-Than 2-Year
0388	1	Private For-Profit, Less-Than 2-Year
0389	1	Private For-Profit, Less-Than 2-Year
0390	1	Private For-Profit, Less-Than 2-Year
0391	1	Private For-Profit, Less-Than 2-Year
0392	1	Private For-Profit, Less-Than 2-Year
0393	1	Private For-Profit, Less-Than 2-Year
0394	1	Private For-Profit, Less-Than 2-Year
0395	1	Public, 4-Year or Above
0396	1	Public, 4-Year or Above
0397	1	Public, 2-Year
0398	1	Public, 2-Year
0399	1	Public, 2-Year
0400	1	Private Not-For-Profit, 4-Year or Above
0401	1	Private Not-For-Profit, 4-Year or Above
0402	1	Private Not-For-Profit, 4-Year or Above
0403	1	Private Not-For-Profit, 4-Year or Above
0404	1	Private Not-For-Profit, 4-Year or Above
0405	1	Private For-Profit, 2-Year
0406	1	Private For-Profit, 2-Year
0407	1	Private For-Profit, 2-Year
0408	1	Private Not-For-Profit, 2-Year
0409	1	Private Not-For-Profit, Less-Than 2-Year
0410	1	Private For-Profit, Less-Than 2-Year
0411	1	Public, 4-Year or Above
0412	1	Public, 2-Year
0413	1	Public, 2-Year
0414	1	Public, 2-Year
0415	1	Public, 2-Year
0416	1	Private For-Profit, 4-Year or Above
0417	1	Private For-Profit, 4-Year or Above
0418	1	Private For-Profit, 4-Year or Above
0419	1	Private For-Profit, 4-Year or Above
0420	1	Private For-Profit, 4-Year or Above
0421	1	Private For-Profit, 4-Year or Above
0422	1	Private For-Profit, 4-Year or Above
0423	1	Private For-Profit, 4-Year or Above
0424	1	Private For-Profit, 4-Year or Above
0425	1	Private For-Profit, 4-Year or Above
0426	1	Private For-Profit, 2-Year
0427	1	Private For-Profit, 2-Year
0428	1	Private For-Profit, 2-Year
0429	1	Private For-Profit, 2-Year
0430	1	Private For-Profit, 2-Year
0431	1	Private For-Profit, 2-Year
0432	1	Private For-Profit, Less-Than 2-Year
