university	matchcollege	website
2000	2000	2000	1912
0000	1	www.aamu.edu
0001	1	www.auburn.edu
0002	1	www.jsu.edu
0003	1	www.ua.edu
0004	1	www.troy.edu
0005	1	www.uah.edu
0006	1	www.southalabama.edu
0007	1	www.uwa.edu
0008	1	www.ascc.edu
0009	1	www.bscc.edu
0010	1	www.bishop.edu
0011	1	www.cv.edu
0012	1	www.eocc.edu
0013	1	www.wallace.edu
0014	1	www.wallacestate.edu
0015	1	www.drakestate.edu
0016	1	www.faulknerstate.edu
0017	1	www.jeffstateonline.com
0018	1	www.lawsonstate.edu
0019	1	www.lbwcc.edu
0020	1	www.nacc.edu
0021	1	www.sheltonstate.edu
0022	1	www.suscc.edu
0023	1	www.concordiaselma.edu
0024	1	www.hcu.edu
0025	1	www.herzing.edu
0026	1	www.hbc1.edu
0027	1	www.miles.edu
0028	1	www.oakwood.edu
0029	1	www.samford.edu
0030	1	www.shc.edu
0031	1	www.tuskegee.edu
0032	1	www.umobile.edu
0033	1	www.vc.edu
0034	1	www.cappscollege.edu
0035	1	princeinstitute.edu
0036	1	www.blue.edu
0037	1	www.fortiscollege.com
0038	1	www.southeasternschoolofcosmetology.com
0039	1	www.chartercollege.edu
0040	1	www.abac.edu
0041	1	www.clayton.edu
0042	1	www.daltonstate.edu
0043	1	www.gsc.edu
0044	1	www.gsu.edu
0045	1	www.gdn.edu
0046	1	www.kennesaw.edu
0047	1	www.maconstate.edu
0048	1	www.mcg.edu
0049	1	www.spsu.edu
0050	1	www.valdosta.edu
0051	1	www.athenstech.edu
0052	1	www.augustatech.edu
0053	1	www.bainbridge.edu
0054	1	www.chattcollege.com
0055	1	www.ccga.edu
0056	1	www.columbustech.edu
0057	1	www.eastcentraltech.edu
0058	1	www.ega.edu
0059	1	www.flintrivertech.edu
0060	1	www.highlands.edu
0061	1	www.gmc.cc.ga.us
0062	1	www.gradyhealthsystem.org
0063	1	www.griffintech.edu
0064	1	www.GwinnettTech.edu
0065	1	www.northmetrotech.edu
0066	1	www.ogeecheetech.edu
0067	1	www.southgatech.edu
0068	1	www.southeasterntech.edu
0069	1	www.waycross.edu
0070	1	www.aiudunwoody.com
0071	1	www.universityhealth.org
0072	1	www.bauder.edu
0073	1	beacon.edu
0074	1	www.beulah.org
0075	1	www.brenau.edu
0076	1	www.bpc.edu
0077	1	www.covenant.edu
0078	1	www.Herzing.com
0079	1	www.itc.edu
0080	1	www.lagrange.edu
0081	1	www.life.edu
0082	1	www.mercer.edu
0083	1	www.morehouse.edu
0084	1	www.piedmont.edu
0085	1	www.reinhardt.edu
0086	1	www.scad.edu
0087	1	www.thomasu.edu
0088	1	www.truett.edu
0089	1	www.wesleyancollege.edu
0090	1	www.sb-atlanta.com
0091	1	www.savannahrivercollege.edu
0092	1	www.creativecircus.edu
0093	1	www.api.edu
0094	1	www.aim-music.com
0095	1	www.atlantaschoolofmassage.com
0096	1	www.augustamassage.com
0097	1	www.beautycl.com
0098	1	WWW.EMPIRE.EDU
0099	1	www.fayettebeautyacademy.com
0100	1	michaelsschoolofbeauty.com
0101	1	www.omnitech.edu
0102	1	www.prowayhairschool.com
0103	1	www.RisingSpirit.edu
0104	1	www.manoa.hawaii.edu
