university	princetonreview	name
615	615	615	615
0000	1	Seton Hall University
0001	1	Abilene Christian University
0002	1	Adelphi University
0003	1	Agnes Scott College
0004	1	The College of Idaho
0005	1	Albion College
0006	1	Albright College
0007	1	Alfred University
0008	1	Allegheny College
0009	1	Alma College
0010	1	American University
0011	1	Amherst College
0012	1	Anderson University (SC)
0013	1	Anderson University (IN)
0014	1	Angelo State University
0015	1	Appalachian State University
0016	1	Arcadia University
0017	1	Arizona State University
0018	1	Ashland University
0019	1	Assumption College
0020	1	Auburn University
0021	1	Augsburg College
0022	1	Augustana College (SD)
0023	1	Austin College
0024	1	Azusa Pacific University
0025	1	Babson College
0026	1	Baker University
0027	1	Baldwin-Wallace College
0028	1	Ball State University
0029	1	Bard College
0030	1	Bard College at Simon's Rock
0031	1	Barnard College
0032	1	Barton College
0033	1	City University of New York--Baruch College
0034	1	Bates College
0035	1	Baylor University
0036	1	Bellarmine University
0037	1	Belmont Abbey College
0038	1	Belmont University
0039	1	Beloit College
0040	1	Bennington College
0041	1	Bentley University
0042	1	Berea College
0043	1	Bethany College (WV)
0044	1	Birmingham-Southern College
0045	1	Boston College
0046	1	Boston University
0047	1	Bowdoin College
0048	1	Bradley University
0049	1	Brandeis University
0050	1	Brenau University The Women's College
0051	1	Brescia University
0052	1	Bridgewater College
0053	1	Brigham Young University (UT)
0054	1	Brown University
0055	1	Bryant University
0056	1	Bryn Mawr College
0057	1	Bucknell University
0058	1	Butler University
0059	1	California Institute of Technology
0060	1	California Institute of the Arts
0061	1	California State University--East Bay
0062	1	California State University--Long Beach
0063	1	California State University--San Bernardino
0064	1	California State University, Stanislaus
0065	1	California University of Pennsylvania
0066	1	Calvin College
0067	1	Campbell University
0068	1	Carleton College
0069	1	Carnegie Mellon University
0070	1	Carson-Newman College
0071	1	Carthage College
0072	1	Case Western Reserve University
0073	1	Catawba College
0074	1	Cedarville University
0075	1	Centenary College of Louisiana
0076	1	Central Connecticut State University
0077	1	Centre College
0078	1	Chapman University
0079	1	Chatham University
0080	1	Chestnut Hill College
0081	1	Christian Brothers University
0082	1	Brooklyn College CUNY
0083	1	Hunter College, CUNY
0084	1	City University of New York--Queens College
0085	1	Claremont McKenna College
0086	1	Clark Atlanta University
0087	1	Clarke College
0088	1	Clarkson University
0089	1	Clark University
0090	1	Clemson University
0091	1	Coe College
0092	1	Coker College
0093	1	Colby College
0094	1	Colgate University
0095	1	Misericordia University
0096	1	College of Charleston
0097	1	College of Santa Fe
0098	1	College of the Atlantic
0099	1	College of the Holy Cross
0100	1	College of the Ozarks
0101	1	College of William and Mary
0102	1	Colorado College
0103	1	Colorado State University
0104	1	Columbia College (MO)
0105	1	Columbia University
0106	1	Concord University
0107	1	Connecticut College
0108	1	Corban College
0109	1	Cornell College
0110	1	Cornell University
0111	1	Covenant College
0112	1	Creighton University
0113	1	Dartmouth College
0114	1	Davidson College
0115	1	Deep Springs College
0116	1	Delaware Valley College
0117	1	Denison University
0118	1	DePaul University
0119	1	DePauw University
0120	1	Dickinson College
0121	1	Doane College
0122	1	Dordt College
0123	1	Drake University
0124	1	Drew University
0125	1	Drexel University
0126	1	Drury University
0127	1	Duke University
0128	1	Duquesne University
0129	1	East Carolina University
0130	1	Eastern Connecticut State University
0131	1	Eastern Michigan University
0132	1	East Tennessee State University
0133	1	Eckerd College
0134	1	Edgewood College
0135	1	Elizabethtown College
0136	1	Elmhurst College
0137	1	Elmira College
0138	1	Elon University
0139	1	Emerson College
0140	1	Emory University
0141	1	Eugene Lang College The New School for Liberal Arts
0142	1	Fairfield University
0143	1	Flagler College
0144	1	Florida Atlantic University
0145	1	Florida Institute of Technology
0146	1	Florida Southern College
0147	1	Florida State University
0148	1	Fordham University
0149	1	Fort Lewis College
0150	1	Franklin &amp; Marshall College
0151	1	Franklin W. Olin College of Engineering
0152	1	Furman University
0153	1	George Fox University
0154	1	George Mason University
0155	1	Georgetown University
0156	1	Georgia College &amp; State University
0157	1	Georgia Institute of Technology
0158	1	Gettysburg College
0159	1	Gonzaga University
0160	1	Gordon College
0161	1	Goucher College
0162	1	Grace College and Seminary
0163	1	Graceland University
0164	1	Grand Valley State University
0165	1	Green Mountain College
0166	1	Grinnell College
0167	1	Grove City College
0168	1	Guilford College
0169	1	Gustavus Adolphus College
0170	1	Hamilton College
0171	1	Hamline University
0172	1	Hampden-Sydney College
0173	1	Hampshire College
0174	1	Hampton University
0175	1	Hanover College
0176	1	Harding University
0177	1	Hardin-Simmons University
0178	1	Hartwick College
0179	1	Harvard College
