university	princetonreview	phone
615	615	615	615
0000	1	Phone:&nbsp;973-761-9332
0001	1	Phone:&nbsp;325-674-2650
0002	1	Phone:&nbsp;516-877-3050
0003	1	Phone:&nbsp;404-471-6285
0004	1	Phone:&nbsp;208-459-5305
0005	1	Phone:&nbsp;517-629-0321
0006	1	Phone:&nbsp;610-921-7799
0007	1	Phone:&nbsp;607-871-2115
0008	1	Phone:&nbsp;814-332-4351
0009	1	Phone:&nbsp;989-463-7139
0010	1	Phone:&nbsp;202-885-6000
0011	1	Phone:&nbsp;413-542-2328
0012	1	Phone:&nbsp;864-231-5607
0013	1	Phone:&nbsp;765-641-4080
0014	1	Phone:&nbsp;325-942-2041
0015	1	Phone:&nbsp;828-262-2120
0016	1	Phone:&nbsp;215-572-2910
0017	1	Phone:&nbsp;480-965-7788
0018	1	Phone:&nbsp;419-289-5052
0019	1	Phone:&nbsp;508-767-7285
0020	1	Phone:&nbsp;334-844-4080
0021	1	Phone:&nbsp;612-330-1001
0022	1	Phone:&nbsp;605-274-5516
0023	1	Phone:&nbsp;903-813-3000
0024	1	Phone:&nbsp;626-812-3016
0025	1	Phone:&nbsp;781-239-5522
0026	1	Phone:&nbsp;785-594-8307
0027	1	Phone:&nbsp;440-826-2222
0028	1	Phone:&nbsp;765-285-8300
0029	1	Phone:&nbsp;845-758-7472
0030	1	Phone:&nbsp;413-528-7312
0031	1	Phone:&nbsp;212-854-2014
0032	1	Phone:&nbsp;252-399-6317
0033	1	Phone:&nbsp;646-312-1400
0034	1	Phone:&nbsp;207-786-6000
0035	1	Phone:&nbsp;254-710-3435
0036	1	Phone:&nbsp;502-452-8131
0037	1	Phone:&nbsp;704-825-6665
0038	1	Phone:&nbsp;615-460-6785
0039	1	Phone:&nbsp;608-363-2500
0040	1	Phone:&nbsp;802-440-4312
0041	1	Phone:&nbsp;781-891-2244
0042	1	Phone:&nbsp;859-985-3500
0043	1	Phone:&nbsp;304-829-7611
0044	1	Phone:&nbsp;205-226-4696
0045	1	Phone:&nbsp;617-552-3100
0046	1	Phone:&nbsp;617-353-2300
0047	1	Phone:&nbsp;207-725-3100
0048	1	Phone:&nbsp;309-677-1000
0049	1	Phone:&nbsp;781-736-3500
0050	1	Phone:&nbsp;770-534-6100
0051	1	Phone:&nbsp;270-686-4241
0052	1	Phone:&nbsp;540-828-5375
0053	1	Phone:&nbsp;801-422-2507
0054	1	Phone:&nbsp;401-863-2378
0055	1	Phone:&nbsp;401-232-6100
0056	1	Phone:&nbsp;610-526-5152
0057	1	Phone:&nbsp;570-577-1101
0058	1	Phone:&nbsp;317-940-8100
0059	1	Phone:&nbsp;626-395-6341
0060	1	Phone:&nbsp;661-255-1050
0061	1	Phone:&nbsp;510-885-2784
0062	1	Phone:&nbsp;562-985-5471
0063	1	Phone:&nbsp;909-537-5188
0064	1	Phone:&nbsp;209-667-3070
0065	1	Phone:&nbsp;724-938-4404
0066	1	Phone:&nbsp;616-526-6106
0067	1	Phone:&nbsp;910-893-1290
0068	1	Phone:&nbsp;507-222-4190
0069	1	Phone:&nbsp;412-268-2082
0070	1	Phone:&nbsp;865-471-3223
0071	1	Phone:&nbsp;262-551-6000
0072	1	Phone:&nbsp;216-368-4450
