university	princetonreview	type
615	615	615	2
0000	1	Private
0001	1	Private
0002	1	Private
0003	1	Private
0004	1	Private
0005	1	Private
0006	1	Private
0007	1	Private
0008	1	Private
0009	1	Private
0010	1	Private
0011	1	Private
0012	1	Private
0013	1	Private
0014	1	Public
0015	1	Public
0016	1	Private
0017	1	Public
0018	1	Private
0019	1	Private
0020	1	Public
0021	1	Private
0022	1	Private
0023	1	Private
0024	1	Private
0025	1	Private
0026	1	Private
0027	1	Private
0028	1	Public
0029	1	Private
0030	1	Private
0031	1	Private
0032	1	Private
0033	1	Public
0034	1	Private
0035	1	Private
0036	1	Private
0037	1	Private
0038	1	Private
0039	1	Private
0040	1	Private
0041	1	Private
0042	1	Private
0043	1	Private
0044	1	Private
0045	1	Private
0046	1	Private
0047	1	Private
0048	1	Private
0049	1	Private
0050	1	Private
0051	1	Private
0052	1	Private
0053	1	Private
0054	1	Private
0055	1	Private
0056	1	Private
0057	1	Private
0058	1	Private
0059	1	Private
0060	1	Private
0061	1	Public
0062	1	Public
0063	1	Public
0064	1	Public
0065	1	Public
0066	1	Private
0067	1	Private
0068	1	Private
0069	1	Private
0070	1	Private
0071	1	Private
0072	1	Private
0073	1	Private
0074	1	Private
0075	1	Private
0076	1	Public
0077	1	Private
0078	1	Private
0079	1	Private
0080	1	Private
0081	1	Private
0082	1	Public
0083	1	Public
0084	1	Public
0085	1	Private
0086	1	Private
0087	1	Private
0088	1	Private
0089	1	Private
0090	1	Public
0091	1	Private
0092	1	Private
0093	1	Private
0094	1	Private
0095	1	Private
0096	1	Public
0097	1	Private
0098	1	Private
0099	1	Private
0100	1	Private
0101	1	Public
0102	1	Private
0103	1	Public
0104	1	Private
0105	1	Private
0106	1	Public
0107	1	Private
0108	1	Private
0109	1	Private
0110	1	Private
0111	1	Private
0112	1	Private
0113	1	Private
0114	1	Private
0115	1	Private
0116	1	Private
0117	1	Private
0118	1	Private
0119	1	Private
0120	1	Private
0121	1	Private
0122	1	Private
0123	1	Private
0124	1	Private
0125	1	Private
0126	1	Private
0127	1	Private
0128	1	Private
0129	1	Public
0130	1	Public
0131	1	Public
0132	1	Public
0133	1	Private
0134	1	Private
0135	1	Private
0136	1	Private
0137	1	Private
0138	1	Private
0139	1	Private
0140	1	Private
0141	1	Private
0142	1	Private
0143	1	Private
0144	1	Public
0145	1	Private
0146	1	Private
0147	1	Public
0148	1	Private
0149	1	Public
0150	1	Private
0151	1	Private
0152	1	Private
0153	1	Private
0154	1	Public
0155	1	Private
0156	1	Public
0157	1	Public
0158	1	Private
0159	1	Private
0160	1	Private
0161	1	Private
0162	1	Private
0163	1	Private
0164	1	Public
0165	1	Private
0166	1	Private
0167	1	Private
0168	1	Private
0169	1	Private
0170	1	Private
0171	1	Private
0172	1	Private
0173	1	Private
0174	1	Private
0175	1	Private
