university	studentaid	name
2000	2000	2000	1999
0000	1	Acadia University
0001	1	Adams State College
0002	1	Babson College
0003	1	Bainbridge College
0004	1	Baker College of Auburn Hills
0005	1	Baker College of Cadillac
0006	1	Baker College of Flint
0007	1	Baker University
0008	1	Bakersfield College
0009	1	Baldwin-Wallace College
0010	1	Ball State University
0011	1	Baltimore City Community College
0012	1	Baltimore City Community College - Harbor
0013	1	Baltimore Hebrew University
0014	1	Baltimore International College
0015	1	Bank Street College of Education
0016	1	Baptist Bible College and Seminary
0017	1	Barclay College
0018	1	Bard College
0019	1	Barnard College
0020	1	Barry University
0021	1	Barstow Community College
0022	1	Kalamazoo College
0023	1	Kalamazoo Valley Community College
0024	1	Kansas City Area Vocational Technical School
0025	1	Kansas City Art Institute
0026	1	Kansas City Kansas Community College
0027	1	Kansas State University
0028	1	Kansas Wesleyan University
0029	1	Katharine Gibbs School - Montclair
0030	1	Katharine Gibbs School - Piscataway
0031	1	Kean University
0032	1	Keene State College
0033	1	Norwich University
0034	1	Notre Dame College
0035	1	Notre Dame de Namur University
0036	1	Nova Scotia College of Art and Design
0037	1	Nyack College
0038	1	NYS College of Human Ecology
0039	1	Ohio Wesleyan University
0040	1	Ohlone College
0041	1	Okaloosa-Walton Community College
0042	1	Oklahoma Baptist University
0043	1	Oklahoma Christian University
0044	1	Oklahoma City Community College
0045	1	Oklahoma Panhandle State University
0046	1	Oklahoma State University - Stillwater
0047	1	Olivet College
0048	1	Olympic College
0049	1	Onondaga Community College
0050	1	Orange Coast College
0051	1	Orange Technical Education Center - Orlando Tech
0052	1	Orange Technical Education Center - Winter Park Tech
0053	1	Orangeburg-Calhoun Technical College
0054	1	Oregon Health Sciences University
0055	1	Oregon Institute of Technology
0056	1	Otis College of Art and Design
0057	1	Ottawa University
0058	1	Ouachita Baptist University
0059	1	Ouachita Technical College
0060	1	Our Lady of Holy Cross College
0061	1	Our Lady of the Lake University
0062	1	Owens State Community College - Toledo
0063	1	Owensboro Community and Technical College
0064	1	Oxford College of Emory University
0065	1	Ozark Christian College
0066	1	Patten University
0067	1	Paul D. Camp Community College - Franklin Campus
0068	1	Paul D. Camp Community College - Hobbs Campus
0069	1	Paul Quinn College
0070	1	Peace College
0071	1	Pearl River Community College - Pearl River County Center
0072	1	Pellissippi State Community College
0073	1	Peninsula College
0074	1	Penn State Beaver
0075	1	Penn State Delaware County
0076	1	Penn State Erie, Behrend College
0077	1	Penn State Fayette
0078	1	Penn State Harrisburg
0079	1	Penn State McKeesport
0080	1	Penn State University Park
0081	1	Penn State Wilkes-Barre
0082	1	Penn State Worthington Scranton
0083	1	Penn State York
0084	1	Penn Valley Community College
0085	1	Pennsylvania Culinary Institute
0086	1	Pennsylvania Gunsmith School
0087	1	Pennsylvania School of Art and Design
0088	1	Pepperdine University
0089	1	Petit Jean College
0090	1	Phillips Community College of the University of Arkansas
0091	1	Phoenix College
0092	1	Piedmont College
0093	1	Piedmont Community College
0094	1	Piedmont Virginia Community College
0095	1	Pierce College
0096	1	Pierpont Community and Technical College
0097	1	Pikes Peak Community College
0098	1	Pikeville College
0099	1	Pima Community College
0100	1	Pine Manor College
0101	1	Pinellas Technical Education Center - St. Petersburg Campus
