university	studentaid	type
2000	2000	2000	37
0000	1	university, public
0001	1	college, public
0002	1	college, private (nonprofit)
0003	1	public
0004	1	college, private (nonprofit)
0005	1	college, private (nonprofit)
0006	1	college, private (nonprofit)
0007	1	university, private (nonprofit)
0008	1	college, public
0009	1	college, private (nonprofit)
0010	1	university, public
0011	1	public
0012	1	public
0013	1	university, private (nonprofit)
0014	1	private (nonprofit)
0015	1	college, private (nonprofit)
0016	1	college, private (nonprofit)
0017	1	college, private (nonprofit)
0018	1	college, private (nonprofit)
0019	1	college, private (nonprofit)
0020	1	university, private (nonprofit)
0021	1	college, public
0022	1	college, private (nonprofit)
0023	1	public
0024	1	public
0025	1	college, private (nonprofit)
0026	1	public
0027	1	university, public
0028	1	university, private (nonprofit)
0029	1	private (proprietary)
0030	1	private (proprietary)
0031	1	university, public
0032	1	college, public
0033	1	university, private (nonprofit)
0034	1	college, private (nonprofit)
0035	1	university, private (nonprofit)
0036	1	college, public
0037	1	college, private (nonprofit)
0038	1	college, public
0039	1	university, private (nonprofit)
0040	1	public
0041	1	public
0042	1	university, private (nonprofit)
0043	1	university, private (nonprofit)
0044	1	public
0045	1	university, public
0046	1	university, public
0047	1	college, private (nonprofit)
0048	1	public
0049	1	public
0050	1	public
0051	1	public
0052	1	public
0053	1	public
0054	1	university, public
0055	1	institute, public
0056	1	college, private (nonprofit)
0057	1	university, private (nonprofit)
0058	1	university, private (nonprofit)
0059	1	public
0060	1	college, private (nonprofit)
0061	1	university, private (nonprofit)
0062	1	public
0063	1	college, public
0064	1	private (nonprofit)
0065	1	college, private (nonprofit)
0066	1	university, private (nonprofit)
0067	1	public
0068	1	public
0069	1	college, historically Black, private (nonprofit)
0070	1	college, private (nonprofit)
0071	1	public
0072	1	college, public
0073	1	public
0074	1	public
0075	1	public
0076	1	university, public
0077	1	public
0078	1	university, public
0079	1	public
0080	1	university, public
0081	1	public
0082	1	public
0083	1	public
0084	1	public
0085	1	private (proprietary)
0086	1	private (proprietary)
0087	1	college, private (nonprofit)
0088	1	university, private (nonprofit)
0089	1	public
0090	1	public
0091	1	public
0092	1	college, private (nonprofit)
0093	1	public
0094	1	public
0095	1	public
0096	1	college, public
0097	1	public
0098	1	college, private (nonprofit)
0099	1	public
0100	1	college, private (nonprofit)
0101	1	public
0102	1	public
0103	1	public
0104	1	private (proprietary)
0105	1	private (proprietary)
0106	1	private (proprietary)
0107	1	university, public
0108	1	university, private (nonprofit)
0109	1	university, private (nonprofit)
0110	1	public
0111	1	university, private (nonprofit)
0112	1	university, private (nonprofit)
0113	1	public
0114	1	university, public
0115	1	university, private (proprietary)
0116	1	college, public
0117	1	university, historically Black, public
0118	1	public
0119	1	institute, private (nonprofit)
0120	1	private (proprietary)
0121	1	college, private (nonprofit)
0122	1	college, private (nonprofit)
0123	1	public
0124	1	public
0125	1	college, private (nonprofit)
0126	1	public
0127	1	university, public
0128	1	university, public
0129	1	public
0130	1	institute, private (nonprofit)
0131	1	college, private (nonprofit)
0132	1	college, private (nonprofit)
0133	1	college, private (nonprofit)
0134	1	public
0135	1	university, private (nonprofit)
0136	1	college, public
0137	1	public
0138	1	private (nonprofit)
0139	1	public
0140	1	college, private (nonprofit)
0141	1	college, private (nonprofit)
0142	1	public
0143	1	public
0144	1	public
0145	1	college, private (nonprofit)
0146	1	university, private (nonprofit)
0147	1	college, private (nonprofit)
0148	1	public
0149	1	public
0150	1	university, private (nonprofit)
0151	1	private (proprietary)
0152	1	university, private (nonprofit)
0153	1	public
0154	1	public
0155	1	public
0156	1	college, private (proprietary)
0157	1	university, public
0158	1	public
0159	1	university, private (nonprofit)
0160	1	college, private (proprietary)
0161	1	private (nonprofit)
0162	1	public
0163	1	private (nonprofit)
0164	1	college, private (nonprofit)
0165	1	historically Black, public
0166	1	college, private (nonprofit)
0167	1	college, private (nonprofit)
0168	1	public
0169	1	public
0170	1	public
0171	1	public
0172	1	public
0173	1	college, private (nonprofit)
0174	1	public
0175	1	public
0176	1	college, private (nonprofit)
0177	1	public
0178	1	university, public
0179	1	university, private (nonprofit)
0180	1	college, private (nonprofit)
0181	1	public
0182	1	private (nonprofit)
0183	1	university, public
0184	1	public
0185	1	public
0186	1	university, private (nonprofit)
0187	1	college, private (nonprofit)
0188	1	college, historically Black, private (nonprofit)
0189	1	university, public
0190	1	college, public
0191	1	college, public
0192	1	college, public
0193	1	college, public
0194	1	university, public
0195	1	university, public
0196	1	college, public
0197	1	university, public
0198	1	university, private (nonprofit)
0199	1	college, private (nonprofit)
0200	1	public
0201	1	college, historically Black, private (nonprofit)
0202	1	college, private (nonprofit)
0203	1	public
0204	1	public
0205	1	university, private (nonprofit)
0206	1	public
0207	1	public
0208	1	university, private (proprietary)
0209	1	college, public
0210	1	university, public
0211	1	college, private (nonprofit)
0212	1	public
0213	1	university, private (nonprofit)
