university	studentaid	website
2000	2000	2000	1931
0000	1	www.acadiau.ca
0001	1	www.adams.edu
0002	1	www.babson.edu
0003	1	www.bbc.peachnet.edu
0004	1	https://www.baker.edu
0005	1	https://www.baker.edu
0006	1	www.baker.edu
0007	1	www.bakeru.edu
0008	1	www.bakersfieldcollege.edu
0009	1	www.bw.edu
0010	1	www.bsu.edu
0011	1	www.bccc.state.md.us
0012	1	www.bccc.edu
0013	1	www.bhu.edu
0014	1	www.bic.edu
0015	1	www.bankstreet.edu
0016	1	www.bbc.edu
0017	1	www.barclaycollege.edu
0018	1	www.bard.edu
0019	1	www.barnard.edu
0020	1	www.barry.edu
0021	1	www.barstow.edu
0022	1	www.kzoo.edu
0023	1	www.kvcc.edu
0024	1	www.kckats.com
0025	1	www.kcai.edu
0026	1	www.kckcc.cc.ks.us
0027	1	www.k-state.edu
0028	1	www.kwu.edu
0029	1	www.katharinegibbs.com
0030	1	www.gibbseducation.com
0031	1	www.kean.edu
0032	1	www.keene.edu
0033	1	www.norwich.edu
0034	1	www.notredame.edu
0035	1	www.ndnu.edu
0036	1	www.nscad.ca
0037	1	www.nyack.edu
0038	1	www.human.cornell.edu/
0039	1	web.owu.edu
0040	1	www.ohlone.cc.ca.us
0041	1	www.owc.edu
0042	1	www.okbu.edu
0043	1	www.oc.edu/
0044	1	www.occc.edu
0045	1	www.opsu.edu
0046	1	www.okstate.edu
0047	1	www.olivetcollege.edu
0048	1	www.oc.ctc.edu
0049	1	www.sunyocc.edu
0050	1	www.orangecoastcollege.edu
0051	1	www.orlandotech.ocps.k12.fl.us
0052	1	www.wpt.ocps.net
0053	1	www.octech.org
0054	1	www.ohsu.edu
0055	1	www.oit.edu
0056	1	www.otis.edu
0057	1	www.ottawa.edu
0058	1	www.obu.edu
0059	1	www.otcweb.edu
0060	1	www.olhcc.edu
0061	1	www.ollusa.edu
0062	1	www.owens.edu
0063	1	www.octc.kctcs.edu
0064	1	oxford.emory.edu/
0065	1	www.occ.edu
0066	1	www.patten.edu
0067	1	www.pc.cc.va.us
0068	1	www.pc.cc.va.us
0069	1	www.pqc.edu
0070	1	www.peace.edu
0071	1	www.prcc.cc.ms.us
0072	1	www.pstcc.edu
0073	1	www.pc.ctc.edu
0074	1	www.br.psu.edu
0075	1	www.de.psu.edu
0076	1	www.pserie.psu.edu/
0077	1	www.fe.psu.edu
0078	1	www.hbg.psu.edu/
0079	1	www.mk.psu.edu
0080	1	www.psu.edu
0081	1	www.wb.psu.edu
0082	1	www.sn.psu.edu
0083	1	www.yk.psu.edu
0084	1	www.kcmetro.edu
0085	1	www.pci.edu
0086	1	www.pagunsmith.edu
0087	1	www.psad.edu
0088	1	www.pepperdine.edu
0089	1	www.uaccm.edu
0090	1	www.pccua.cc.ar.us
0091	1	www.phoenixcollege.edu
0092	1	www.piedmont.edu
0093	1	www.piedmont.cc.nc.us/
