university	usnews	name
1027	1027	1027	1008
0000	1	Abilene Christian University
0001	1	Adelphi University
0002	1	Adrian College
0003	1	Agnes Scott College
0004	1	Alaska Pacific University
0005	1	Albany State University
0006	1	Albion College
0007	1	Albright College
0008	1	Alcorn State University
0009	1	Alderson-Broaddus College
0010	1	Alfred University
0011	1	Alice Lloyd College
0012	1	Allegheny College
0013	1	Alma College
0014	1	Alvernia University
0015	1	Alverno College
0016	1	American University
0017	1	Amherst College
0018	1	Anderson University
0019	1	Anderson University
0020	1	Andrews University
0021	1	Appalachian State University
0022	1	Aquinas College
0023	1	Arcadia University
0024	1	Arizona State University
0025	1	Arkansas State University--Jonesboro
0026	1	Arkansas Tech University
0027	1	Asbury University
0028	1	Ashland University
0029	1	Assumption College
0030	1	Auburn University
0031	1	Auburn University--Montgomery
0032	1	Augsburg College
0033	1	Augustana College
0034	1	Augustana College
0035	1	Austin College
0036	1	Austin Peay State University
0037	1	Averett University
0038	1	Avila University
0039	1	Azusa Pacific University
0040	1	Baker University
0041	1	Baldwin-Wallace College
0042	1	Ball State University
0043	1	Baptist Bible College and Seminary
0044	1	Bard College
0045	1	Bard College at Simon's Rock
0046	1	Barnard College
0047	1	Barton College
0048	1	Bates College
0049	1	Baylor University
0050	1	East Stroudsburg University of Pennsylvania
0051	1	East Texas Baptist University
0052	1	Eckerd College
0053	1	Edgewood College
0054	1	Edinboro University of Pennsylvania
0055	1	Elizabeth City State University
0056	1	Elizabethtown College
0057	1	Elmhurst College
0058	1	Elmira College
0059	1	Elon University
0060	1	Embry-Riddle Aeronautical University
0061	1	Emerson College
0062	1	Emmanuel College
0063	1	Emmanuel College
0064	1	Emory and Henry College
0065	1	Emory University
0066	1	Emporia State University
0067	1	Endicott College
0068	1	Erskine College
0069	1	Eureka College
0070	1	Evergreen State College
0071	1	Fairfield University
0072	1	Fairleigh Dickinson University
0073	1	Fairmont State University
0074	1	Farmingdale State College--SUNY
0075	1	Faulkner University
0076	1	Felician College
0077	1	Ferris State University
0078	1	Fisk University
0079	1	Fitchburg State College
0080	1	Flagler College
0081	1	Florida Gulf Coast University
0082	1	Florida Institute of Technology
0083	1	Florida Southern College
0084	1	Florida State University
0085	1	Fontbonne University
0086	1	Fordham University
0087	1	Framingham State College
0088	1	Franciscan University of Steubenville
0089	1	Francis Marion University
0090	1	Franklin and Marshall College
0091	1	Franklin College
0092	1	Freed-Hardeman University
0093	1	Free Will Baptist Bible College
0094	1	Fresno Pacific University
0095	1	Frostburg State University
0096	1	Furman University
0097	1	Gannon University
0098	1	Gardner-Webb University
0099	1	Geneva College
0100	1	George Fox University
0101	1	George Mason University
0102	1	Georgetown College
0103	1	Georgetown University
0104	1	George Washington University
0105	1	Georgia College &amp; State University
0106	1	Georgia Institute of Technology
0107	1	Georgian Court University
0108	1	Georgia Southwestern State University
0109	1	Gettysburg College
0110	1	Glenville State College
0111	1	Gonzaga University
0112	1	Gordon College
0113	1	Goshen College
0114	1	Goucher College
0115	1	Grace College and Seminary
0116	1	Graceland University
0117	1	Grand Valley State University
0118	1	Grand View University
0119	1	Greenville College
0120	1	Grinnell College
0121	1	Grove City College
0122	1	Guilford College
0123	1	Gustavus Adolphus College
