university	usnews	phone
1027	1027	1027	1026
0000	1	(800) 460-6228
0001	1	(800) 233-5744
0002	1	(800) 877-2246
0003	1	(800) 868-8602
0004	1	(800) 252-7528
0005	1	(229) 430-4646
0006	1	(800) 858-6770
0007	1	(800) 252-1856
0008	1	(601) 877-6147
0009	1	(800) 263-1549
0010	1	(800) 541-9229
0011	1	(888) 280-4252
0012	1	(800) 521-5293
0013	1	(800) 321-2562
0014	1	(610) 796-8220
0015	1	(414) 382-6100
0016	1	(202) 885-6000
0017	1	(413) 542-2328
0018	1	(864) 231-5607
0019	1	(765) 641-4080
0020	1	(800) 253-2874
0021	1	(828) 262-2120
0022	1	(616) 732-4460
0023	1	(215) 572-2910
0024	1	(480) 965-7788
0025	1	(870) 972-3024
0026	1	(479) 968-0343
0027	1	(800) 888-1818
0028	1	(419) 289-5052
0029	1	(866) 477-7776
0030	1	(334) 844-6425
0031	1	(334) 244-3611
0032	1	(612) 330-1001
0033	1	(800) 798-8100
0034	1	(605) 274-5516
0035	1	(800) 442-5363
0036	1	(931) 221-7661
0037	1	(800) 283-7388
0038	1	(816) 501-2400
0039	1	(800) 825-5278
0040	1	(800) 873-4282
0041	1	(440) 826-2222
0042	1	(765) 285-8300
0043	1	(800) 451-7664
0044	1	(845) 758-7472
0045	1	(413) 528-7312
0046	1	(212) 854-2014
0047	1	(800) 345-4973
0048	1	(207) 786-6000
0049	1	(800) 229-5678
0050	1	(570) 422-3542
0051	1	(800) 804-3828
0052	1	(727) 864-8331
0053	1	(608) 663-2294
0054	1	(888) 846-2676
0055	1	(252) 335-3305
0056	1	(717) 361-1400
0057	1	(630) 617-3400
0058	1	(607) 735-1724
0059	1	(800) 334-8448
0060	1	(800) 862-2416
0061	1	(617) 824-8600
0062	1	(800) 860-8800
0063	1	(617) 735-9715
0064	1	(800) 848-5493
0065	1	(404) 727-6036
0066	1	(620) 341-5465
0067	1	(978) 921-1000
0068	1	(864) 379-8838
0069	1	(309) 467-6345
0070	1	(360) 867-6170
0071	1	(203) 254-4100
0072	1	(800) 338-8803
0073	1	(304) 367-4892
0074	1	(631) 420-2200
0075	1	(334) 386-7200
0076	1	(201) 559-6131
0077	1	(231) 591-2100
0078	1	(888) 702-0022
0079	1	(978) 665-3144
0080	1	(800) 304-4208
0081	1	(239) 590-7878
0082	1	(800) 888-4348
0083	1	(863) 680-4131
0084	1	(850) 644-6200
0085	1	(314) 889-1400
0086	1	(800) 367-3426
0087	1	(508) 626-4500
0088	1	(740) 283-6226
0089	1	(843) 661-1231
0090	1	(717) 291-3953
0091	1	(317) 738-8062
0092	1	(800) 630-3480
0093	1	(800) 763-9222
0094	1	(559) 453-2039
0095	1	(301) 687-4201
0096	1	(864) 294-2034
0097	1	(814) 871-7240
0098	1	(800) 253-6472
0099	1	(724) 847-6500
0100	1	(800) 765-4369
0101	1	(703) 993-2400
0102	1	(502) 863-8009
0103	1	(202) 687-3600
0104	1	(202) 994-6040
0105	1	(478) 445-1283
0106	1	(404) 894-4154
0107	1	(732) 987-2760
0108	1	(229) 928-1273
0109	1	(800) 431-0803
0110	1	(304) 462-4128
0111	1	(800) 322-2584
0112	1	(866) 464-6736
0113	1	(574) 535-7535
0114	1	(410) 337-6100
0115	1	(574) 372-5100
0116	1	(866) 472-2352
0117	1	(800) 748-0246
0118	1	(515) 263-2810
0119	1	(618) 664-7100
0120	1	(800) 247-0113
0121	1	(724) 458-2100
0122	1	(800) 992-7759
0123	1	(507) 933-7676
0124	1	(215) 681-5510
0125	1	(800) 843-2655
0126	1	(651) 523-2207
0127	1	(800) 755-0733
0128	1	(413) 559-5471
0129	1	(757) 727-5328
0130	1	(800) 454-1119
0131	1	(812) 866-7021
0132	1	(800) 477-4407
0133	1	(325) 670-1206
0134	1	(607) 431-4150
0135	1	(617) 495-1551
0136	1	(909) 621-8011
0137	1	(800) 532-7642
0138	1	(610) 896-1350
0139	1	(808) 544-0238
0140	1	(419) 448-2330
0141	1	(870) 230-5028
0142	1	(800) 277-9017
0143	1	(800) 345-6993
0144	1	(716) 649-7900
0145	1	(517) 607-2327
0146	1	(800) 362-5280
0147	1	(315) 781-3622
0148	1	(516) 463-6700
0149	1	(800) 456-9595
0150	1	(215) 637-3050
0151	1	(800) 922-1599
0152	1	(616) 395-7850
0153	1	(800) 777-2556
0154	1	(281) 649-3211
0155	1	(325) 649-8020
0156	1	(202) 806-2700
0157	1	(707) 826-4402
0158	1	(800) 642-6493
0159	1	(217) 245-3030
0160	1	(800) 448-2329
0161	1	(309) 438-2181
0162	1	(800) 332-2498
0163	1	(877) 428-6329
0164	1	(812) 855-0661
0165	1	(765) 455-9531
0166	1	(800) 332-6901
0167	1	(914) 633-2502
0168	1	(800) 262-3810
0169	1	(800) 429-4274
0170	1	(256) 782-5268
0171	1	(800) 225-2027
0172	1	(540) 568-5681
0173	1	(701) 252-3467
0174	1	(877) 528-4636
0175	1	(216) 397-4294
0176	1	(410) 516-8171
0177	1	(800) 342-5598
0178	1	(800) 879-5376
0179	1	(877) 586-4282
0180	1	(800) 253-3602
0181	1	(785) 532-6250
0182	1	(785) 827-5541
0183	1	(908) 737-7100
0184	1	(603) 358-2276
0185	1	(770) 423-6300
0186	1	(330) 672-2444
0187	1	(800) 325-1716
0188	1	(740) 427-5776
0189	1	(315) 279-5254
0190	1	(570) 945-8000
0191	1	(423) 652-4861
0192	1	(888) 546-4772
0193	1	(800) 678-5669
0194	1	(610) 683-4060
0195	1	(610) 330-5100
0196	1	(706) 880-8005
0197	1	(800) 916-0904
0198	1	(847) 735-5000
0199	1	(906) 635-2231
0200	1	(864) 388-8307
0201	1	(215) 951-1500
0202	1	(617) 243-2225
0203	1	(248) 204-3160
0204	1	(800) 227-0982
0205	1	(717) 867-6181
0206	1	(423) 614-8500
0207	1	(610) 758-3100
0208	1	(315) 445-4300
0209	1	(828) 328-7300
0210	1	(617) 349-8800
0211	1	(903) 233-4300
0212	1	(800) 444-4111
0213	1	(208) 792-2210
0214	1	(800) 897-9000
0215	1	(864) 488-4554
0216	1	(423) 869-6280
0217	1	(800) 640-2287
0218	1	(615) 966-1776
0219	1	(434) 395-2060
0220	1	(800) 245-6727
0221	1	(318) 487-7259
0222	1	(225) 578-1175
0223	1	(310) 338-2750
0224	1	(312) 915-6500
0225	1	(410) 617-5012
0226	1	(800) 456-9652
0227	1	(563) 387-1287
0228	1	(800) 345-3920
0229	1	(434) 544-8300
0230	1	(800) 888-5966
0231	1	(800) 423-2542
0232	1	(651) 696-6357
0233	1	(217) 479-7056
0234	1	(734) 432-5339
0235	1	(207) 326-2206
0236	1	(330) 471-8145
0237	1	(800) 852-3648
0238	1	(718) 862-7200
0239	1	(800) 328-4553
0240	1	(800) 577-6826
0241	1	(920) 206-2327
0242	1	(317) 955-6300
0243	1	(920) 923-7650
0244	1	(800) 331-7896
0245	1	(845) 575-3226
0246	1	(800) 222-6544
0247	1	(800) 642-3499
0248	1	(866) 642-4968
0249	1	(800) 468-2262
0250	1	(703) 284-1500
0251	1	(865) 981-8092
0252	1	(800) 627-9855
0253	1	(570) 348-6234
0254	1	(617) 253-3400
0255	1	(800) 544-3411
0256	1	(800) 568-6248
0257	1	(701) 788-5222
0258	1	(800) 638-5005
0259	1	(618) 537-6831
0260	1	(325) 793-4700
0261	1	(478) 301-2650
0262	1	(814) 824-2202
0263	1	(919) 760-8581
0264	1	(978) 837-5100
0265	1	(717) 691-6000
0266	1	(910) 630-7027
0267	1	(513) 529-2531
0268	1	(517) 355-8332
0269	1	(906) 487-2335
0270	1	(802) 443-3000
0271	1	(615) 898-2111
0272	1	(402) 941-6501
0273	1	(717) 872-3371
0274	1	(423) 461-8730
0275	1	(217) 424-6210
0276	1	(601) 974-1050
0277	1	(510) 430-2135
0278	1	(800) 332-6763
0279	1	(507) 389-1822
0280	1	(800) 593-7246
0281	1	(570) 674-6264
