university	usnews	type
1027	1027	1027	2
0000	1	Private
0001	1	Private
0002	1	Private
0003	1	Private
0004	1	Private
0005	1	Public
0006	1	Private
0007	1	Private
0008	1	Public
0009	1	Private
0010	1	Private
0011	1	Private
0012	1	Private
0013	1	Private
0014	1	Private
0015	1	Private
0016	1	Private
0017	1	Private
0018	1	Private
0019	1	Private
0020	1	Private
0021	1	Public
0022	1	Private
0023	1	Private
0024	1	Public
0025	1	Public
0026	1	Public
0027	1	Private
0028	1	Private
0029	1	Private
0030	1	Public
0031	1	Public
0032	1	Private
0033	1	Private
0034	1	Private
0035	1	Private
0036	1	Public
0037	1	Private
0038	1	Private
0039	1	Private
0040	1	Private
0041	1	Private
0042	1	Public
0043	1	Private
0044	1	Private
0045	1	Private
0046	1	Private
0047	1	Private
0048	1	Private
0049	1	Private
0050	1	Public
0051	1	Private
0052	1	Private
0053	1	Private
0054	1	Public
0055	1	Public
0056	1	Private
0057	1	Private
0058	1	Private
0059	1	Private
0060	1	Private
0061	1	Private
0062	1	Private
0063	1	Private
0064	1	Private
0065	1	Private
0066	1	Public
0067	1	Private
0068	1	Private
0069	1	Private
0070	1	Public
0071	1	Private
0072	1	Private
0073	1	Public
0074	1	Public
0075	1	Private
0076	1	Private
0077	1	Public
0078	1	Private
0079	1	Public
0080	1	Private
0081	1	Public
0082	1	Private
0083	1	Private
0084	1	Public
0085	1	Private
0086	1	Private
0087	1	Public
0088	1	Private
0089	1	Public
0090	1	Private
0091	1	Private
0092	1	Private
0093	1	Private
0094	1	Private
0095	1	Public
0096	1	Private
0097	1	Private
0098	1	Private
0099	1	Private
0100	1	Private
0101	1	Public
0102	1	Private
0103	1	Private
0104	1	Private
0105	1	Public
0106	1	Public
0107	1	Private
0108	1	Public
0109	1	Private
0110	1	Public
0111	1	Private
0112	1	Private
0113	1	Private
0114	1	Private
0115	1	Private
0116	1	Private
0117	1	Public
0118	1	Private
0119	1	Private
0120	1	Private
0121	1	Private
0122	1	Private
0123	1	Private
0124	1	Private
0125	1	Private
0126	1	Private
0127	1	Private
0128	1	Private
0129	1	Private
0130	1	Private
0131	1	Private
0132	1	Private
0133	1	Private
0134	1	Private
0135	1	Private
0136	1	Private
0137	1	Private
0138	1	Private
0139	1	Private
0140	1	Private
0141	1	Public
0142	1	Private
0143	1	Private
0144	1	Private
0145	1	Private
0146	1	Private
0147	1	Private
0148	1	Private
0149	1	Private
0150	1	Private
0151	1	Private
0152	1	Private
0153	1	Private
0154	1	Private
0155	1	Private
0156	1	Private
0157	1	Public
0158	1	Private
0159	1	Private
0160	1	Private
0161	1	Public
0162	1	Private
0163	1	Private
0164	1	Public
0165	1	Public
0166	1	Private
0167	1	Private
0168	1	Public
0169	1	Private
0170	1	Public
0171	1	Private
0172	1	Public
0173	1	Private
0174	1	Private
0175	1	Private
0176	1	Private
0177	1	Private
0178	1	Private
0179	1	Private
0180	1	Private
0181	1	Public
0182	1	Private
0183	1	Public
0184	1	Public
0185	1	Public
0186	1	Public
0187	1	Public
0188	1	Private
0189	1	Private
0190	1	Private
0191	1	Private
0192	1	Private
0193	1	Private
0194	1	Public
0195	1	Private
0196	1	Private
0197	1	Private
0198	1	Private
0199	1	Public
0200	1	Public
0201	1	Private
0202	1	Private
0203	1	Private
0204	1	Private
0205	1	Private
0206	1	Private
0207	1	Private
0208	1	Private
0209	1	Private
0210	1	Private
0211	1	Private
0212	1	Private
0213	1	Public
0214	1	Private
0215	1	Private
