university	usnews	website
1027	1027	1027	1026
0000	1	http://www.acu.edu
0001	1	http://www.adelphi.edu
0002	1	http://www.adrian.edu
0003	1	http://www.agnesscott.edu
0004	1	http://www.alaskapacific.edu
0005	1	http://www.asurams.edu/
0006	1	http://www.albion.edu
0007	1	http://www.albright.edu
0008	1	http://www.alcorn.edu
0009	1	http://www.ab.edu
0010	1	http://www.alfred.edu
0011	1	http://www.alc.edu
0012	1	http://www.allegheny.edu
0013	1	http://www.alma.edu
0014	1	http://www.alvernia.edu
0015	1	http://www.alverno.edu
0016	1	http://www.american.edu
0017	1	http://www.amherst.edu
0018	1	http://www.andersonuniversity.edu
0019	1	http://www.anderson.edu
0020	1	http://www.andrews.edu
0021	1	http://www.appstate.edu
0022	1	http://www.aquinas.edu
0023	1	http://www.arcadia.edu
0024	1	http://www.asu.edu
0025	1	http://www.astate.edu
0026	1	http://www.atu.edu
0027	1	http://www.asbury.edu
0028	1	http://www.ashland.edu
0029	1	http://www.assumption.edu
0030	1	http://www.auburn.edu
0031	1	http://www.aum.edu
0032	1	http://www.augsburg.edu
0033	1	http://www.augustana.edu
0034	1	http://www.augie.edu
0035	1	http://www.austincollege.edu
0036	1	http://www.apsu.edu
0037	1	http://www.averett.edu
0038	1	http://www.Avila.edu
0039	1	http://www.apu.edu
0040	1	http://www.bakeru.edu
0041	1	http://www.bw.edu
0042	1	http://www.bsu.edu
0043	1	http://www.bbc.edu
0044	1	http://www.bard.edu
0045	1	http://www.simons-rock.edu
0046	1	http://www.barnard.edu
0047	1	http://www.barton.edu
0048	1	http://www.bates.edu
0049	1	http://www.baylor.edu
0050	1	http://www.esu.edu
0051	1	http://www.etbu.edu
0052	1	http://www.eckerd.edu
0053	1	http://www.edgewood.edu
0054	1	http://www.edinboro.edu
0055	1	http://www.ecsu.edu
0056	1	http://www.etown.edu
0057	1	http://www.elmhurst.edu
0058	1	http://www.elmira.edu
0059	1	http://www.elon.edu
0060	1	http://www.embryriddle.edu
0061	1	http://www.emerson.edu
0062	1	http://www.ec.edu
0063	1	http://www.emmanuel.edu
0064	1	http://www.ehc.edu
0065	1	http://www.emory.edu
0066	1	http://www.emporia.edu
0067	1	http://www.endicott.edu
0068	1	http://www.erskine.edu
0069	1	http://www.eureka.edu
0070	1	http://www.evergreen.edu
0071	1	http://www.fairfield.edu
0072	1	http://www.fdu.edu
0073	1	http://www.fairmontstate.edu
0074	1	http://www.farmingdale.edu
0075	1	http://www.faulkner.edu
0076	1	http://www.felician.edu
0077	1	http://www.ferris.edu
0078	1	http://www.fisk.edu
0079	1	http://www.fsc.edu
0080	1	http://www.flagler.edu
0081	1	http://www.fgcu.edu
0082	1	http://www.fit.edu
0083	1	http://www.flsouthern.edu
0084	1	http://www.fsu.edu
0085	1	http://www.fontbonne.edu
0086	1	http://www.fordham.edu
0087	1	http://www.framingham.edu
0088	1	http://www.franciscan.edu
0089	1	http://www.fmarion.edu
0090	1	http://www.fandm.edu
0091	1	http://www.franklincollege.edu
0092	1	http://www.fhu.edu
0093	1	http://www.fwbbc.edu/
0094	1	http://www.fresno.edu
0095	1	http://www.frostburg.edu
0096	1	http://www.furman.edu/
0097	1	http://www.gannon.edu
0098	1	http://www.gardner-webb.edu
0099	1	http://www.geneva.edu
0100	1	http://www.georgefox.edu
0101	1	http://www.gmu.edu
0102	1	http://www.georgetowncollege.edu
0103	1	http://www.georgetown.edu
0104	1	http://www.gwu.edu
0105	1	http://www.gcsu.edu
0106	1	http://www.gatech.edu/welcome
0107	1	http://www.georgian.edu
0108	1	http://www.gsw.edu
0109	1	http://www.gettysburg.edu
0110	1	http://www.glenville.edu
0111	1	http://www.gonzaga.edu
0112	1	http://www.gordon.edu
0113	1	http://www.goshen.edu
0114	1	http://www.goucher.edu
0115	1	http://www.grace.edu
0116	1	http://www.graceland.edu
0117	1	http://www.gvsu.edu
0118	1	http://www.gvc.edu
0119	1	http://www.greenville.edu
0120	1	http://www.grinnell.edu
0121	1	http://www.gcc.edu
0122	1	http://www.guilford.edu
0123	1	http://www.gac.edu
0124	1	http://www.gmc.edu
0125	1	http://www.hamilton.edu
0126	1	http://www.hamline.edu
0127	1	http://www.hsc.edu
0128	1	http://www.hampshire.edu
0129	1	http://www.hamptonu.edu
0130	1	http://www.hlg.edu
0131	1	http://www.hanover.edu
0132	1	http://www.harding.edu
0133	1	http://www.hsutx.edu/
0134	1	http://www.hartwick.edu
0135	1	http://www.college.harvard.edu
0136	1	http://www.hmc.edu
0137	1	http://www.hastings.edu
0138	1	http://www.haverford.edu
0139	1	http://www.hpu.edu
0140	1	http://www.heidelberg.edu
0141	1	http://www.getreddie.com
0142	1	http://www.hendrix.edu
0143	1	http://www.highpoint.edu
0144	1	http://www.hilbert.edu/
0145	1	http://www.hillsdale.edu
0146	1	http://www.hiram.edu
0147	1	http://www.hws.edu
0148	1	http://www.hofstra.edu
0149	1	http://www.hollins.edu
0150	1	http://www.holyfamily.edu
0151	1	http://www.hood.edu
0152	1	http://www.hope.edu
0153	1	http://www.houghton.edu
0154	1	http://www.hbu.edu
0155	1	http://www.hputx.edu
0156	1	http://www.howard.edu
0157	1	http://www.humboldt.edu
0158	1	http://www.huntington.edu
0159	1	http://www.ic.edu
0160	1	http://www.iit.edu
0161	1	http://www.ilstu.edu
0162	1	http://www.iwu.edu
0163	1	http://www.immaculata.edu
0164	1	http://www.iub.edu
0165	1	http://www.iuk.edu
0166	1	http://www.indwes.edu
0167	1	http://www.iona.edu/info
0168	1	http://www.iastate.edu
0169	1	http://www.ithaca.edu
0170	1	http://www.jsu.edu
0171	1	http://www.jacksonville.edu
0172	1	http://www.jmu.edu
